,Year,Weight,Score
621,2016,89,0.28933092224231466
622,2017,89,0.29893778452200304
623,2011,90,0.2765957446808511
624,2012,90,0.2864864864864865
625,2013,90,0.30935251798561153
626,2014,90,0.2945945945945946
627,2015,90,0.28293736501079914
628,2016,90,0.28933092224231466
629,2017,90,0.29893778452200304
630,2011,91,0.2765957446808511
631,2012,91,0.2864864864864865
632,2013,91,0.30935251798561153
633,2014,91,0.2945945945945946
634,2015,91,0.28293736501079914
635,2016,91,0.28933092224231466
636,2017,91,0.29893778452200304
637,2011,92,0.2765957446808511
638,2012,92,0.2864864864864865
639,2013,92,0.30935251798561153
640,2014,92,0.2945945945945946
641,2015,92,0.28293736501079914
642,2016,92,0.28933092224231466
643,2017,92,0.29893778452200304
644,2011,93,0.2765957446808511
645,2012,93,0.2864864864864865
646,2013,93,0.30935251798561153
647,2014,93,0.2945945945945946
648,2015,93,0.28293736501079914
649,2016,93,0.28933092224231466
650,2017,93,0.29893778452200304
651,2011,94,0.2765957446808511
652,2012,94,0.2864864864864865
653,2013,94,0.30935251798561153
654,2014,94,0.2945945945945946
655,2015,94,0.28293736501079914
656,2016,94,0.28933092224231466
657,2017,94,0.29893778452200304
658,2011,95,0.2765957446808511
659,2012,95,0.2864864864864865
660,2013,95,0.30935251798561153
661,2014,95,0.2945945945945946
662,2015,95,0.28293736501079914
663,2016,95,0.28933092224231466
664,2017,95,0.29893778452200304
665,2011,96,0.2765957446808511
666,2012,96,0.2864864864864865
667,2013,96,0.30935251798561153
668,2014,96,0.2945945945945946
669,2015,96,0.28293736501079914
670,2016,96,0.28933092224231466
671,2017,96,0.29893778452200304
672,2011,97,0.2765957446808511
673,2012,97,0.2864864864864865
674,2013,97,0.30935251798561153
675,2014,97,0.2945945945945946
676,2015,97,0.28293736501079914
677,2016,97,0.28933092224231466
678,2017,97,0.29893778452200304
679,2011,98,0.2765957446808511
680,2012,98,0.2864864864864865
681,2013,98,0.30935251798561153
682,2014,98,0.2945945945945946
683,2015,98,0.28293736501079914
684,2016,98,0.28933092224231466
685,2017,98,0.29893778452200304
