,Date,Predicted
594,2014-07-08,1
595,2014-07-09,0
596,2014-07-10,0
597,2014-07-11,0
598,2014-07-12,0
599,2014-07-13,0
600,2014-07-14,0
601,2014-07-16,0
602,2014-07-17,1
603,2014-07-18,1
604,2014-07-19,0
605,2014-07-20,0
606,2014-07-22,0
607,2014-07-23,0
608,2014-07-24,1
609,2014-07-25,0
610,2014-07-26,0
611,2014-07-27,1
612,2014-07-27,1
613,2014-08-02,1
614,2014-08-03,0
615,2014-08-04,0
616,2014-08-05,0
617,2014-08-06,0
618,2014-08-07,1
619,2014-08-08,1
620,2014-08-09,0
621,2014-08-09,1
622,2014-08-11,0
623,2014-08-12,0
624,2014-08-13,0
625,2014-08-14,1
626,2014-08-15,0
627,2014-08-16,0
628,2014-08-17,0
629,2014-08-17,0
630,2014-08-24,1
631,2014-08-25,0
632,2014-08-26,1
633,2014-08-27,1
634,2014-08-28,0
635,2014-08-29,0
636,2014-08-30,1
637,2014-08-31,0
638,2014-09-02,1
639,2014-09-03,0
640,2014-09-04,1
641,2014-09-05,0
642,2014-09-06,0
643,2014-09-07,0
644,2014-09-08,1
645,2014-09-10,1
646,2014-09-11,0
647,2014-09-12,0
648,2014-09-13,1
649,2014-09-14,1
650,2014-09-14,0
651,2014-08-24,1
652,2014-08-31,0
653,2014-09-12,1
654,2014-09-14,1
655,2014-10-05,1
656,2014-10-10,1
657,2014-10-11,0
658,2014-10-12,0
659,2014-10-13,0
660,2014-10-14,0
661,2014-10-14,0
662,2015-01-20,1
663,2015-01-21,0
664,2015-01-22,1
665,2015-01-23,1
666,2015-01-24,1
667,2015-01-25,1
668,2015-01-25,1
669,2015-03-09,0
670,2015-03-10,0
671,2015-03-11,1
672,2015-03-12,1
673,2015-03-13,0
674,2015-03-14,0
675,2015-03-15,1
676,2015-03-15,1
677,2015-03-12,1
678,2015-03-13,1
679,2015-03-14,0
680,2015-03-15,0
681,2015-03-16,1
682,2015-03-17,1
683,2015-03-17,0
684,2015-03-22,1
685,2015-03-23,1
686,2015-03-24,0
687,2015-03-25,0
688,2015-03-26,1
689,2015-03-27,1
690,2015-03-28,0
691,2015-03-29,1
692,2015-03-29,1
693,2015-03-27,1
694,2015-03-29,0
695,2015-04-05,1
696,2015-04-06,1
697,2015-04-07,0
698,2015-04-08,0
699,2015-04-09,0
700,2015-04-10,0
701,2015-04-11,0
702,2015-04-11,0
703,2015-04-12,1
704,2015-04-19,0
705,2015-04-22,1
706,2015-04-26,1
707,2015-04-29,0
708,2015-04-30,1
709,2015-05-01,0
710,2015-05-02,0
711,2015-05-03,0
712,2015-05-03,0
713,2015-05-10,0
714,2015-05-11,1
715,2015-05-12,0
716,2015-05-13,0
717,2015-05-14,1
718,2015-05-15,0
719,2015-05-16,0
720,2015-05-17,0
721,2015-05-19,0
722,2015-05-20,0
723,2015-05-21,0
724,2015-05-22,0
725,2015-05-23,0
726,2015-05-24,1
