,Unnamed: 0,Rnk,Rider,Team,Age,Pnt,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking,Year,Month,Day,old_elo,new_elo,old_rd,new_rd,Date1
240291,240356.0,53,1616.0,133,29.0,9.0,10,-1.0,1/25/2015,-,0.0,0 km,42.0,2015,1,25,1500.0,1135.742184477254,350.0,226.60561705996648,2015-01-25
19084,19088.0,12,87.0,101,23.0,60.0,10,-1.0,1/25/2015,-,0.0,0 km,42.0,2015,1,25,1500.0,1976.3371433758984,350.0,226.60561705996648,2015-01-25
40955,40959.0,43,186.0,56,26.0,5.0,10,-1.0,1/25/2015,-,0.0,0 km,42.0,2015,1,25,1500.0,1500.0,350.0,350.0,2015-01-25
146120,146138.0,36,726.0,56,28.0,40.0,10,-1.0,1/25/2015,-,0.0,0 km,42.0,2015,1,25,1500.0,1752.1784876695933,350.0,226.60561705996648,2015-01-25
144947,144965.0,91,719.0,188,29.0,5.0,10,-1.0,1/25/2015,-,0.0,0 km,42.0,2015,1,25,1500.0,1500.0,350.0,350.0,2015-01-25
142701,142719.0,45,697.0,133,25.0,5.0,10,-1.0,1/25/2015,-,0.0,0 km,42.0,2015,1,25,1500.0,1500.0,350.0,350.0,2015-01-25
240283,240348.0,8,1615.0,105,37.0,160.0,10,-1.0,1/25/2015,-,0.0,0 km,42.0,2015,1,25,1500.0,2424.654454788509,350.0,226.60561705996648,2015-01-25
148779,148803.0,56,764.0,58,27.0,5.0,10,-1.0,1/25/2015,-,0.0,0 km,42.0,2015,1,25,1500.0,1500.0,350.0,350.0,2015-01-25
20022,20026.0,110,90.0,10,21.0,5.0,10,-1.0,1/25/2015,-,0.0,0 km,42.0,2015,1,25,1500.0,1500.0,350.0,350.0,2015-01-25
141748,141766.0,151,693.0,26,27.0,5.0,10,-1.0,1/25/2015,-,0.0,0 km,42.0,2015,1,25,1500.0,1500.0,350.0,350.0,2015-01-25
130396,130414.0,116,623.0,89,30.0,5.0,10,-1.0,1/25/2015,-,0.0,0 km,42.0,2015,1,25,1500.0,1500.0,350.0,350.0,2015-01-25
121894,121912.0,20,584.0,58,29.0,190.0,10,-1.0,1/25/2015,-,0.0,0 km,42.0,2015,1,25,1500.0,2480.6941187150856,350.0,226.60561705996648,2015-01-25
119881,119899.0,154,578.0,Team 69 - Garmin,27.0,5.0,10,-1.0,1/25/2015,-,0.0,0 km,42.0,2015,1,25,1500.0,1500.0,350.0,350.0,2015-01-25
117768,117786.0,61,570.0,26,30.0,100.0,10,-1.0,1/25/2015,-,0.0,0 km,42.0,2015,1,25,1500.0,2200.495799082204,350.0,226.60561705996648,2015-01-25
24105,24109.0,50,112.0,10,19.0,5.0,10,-1.0,1/25/2015,-,0.0,0 km,42.0,2015,1,25,1500.0,1500.0,350.0,350.0,2015-01-25
