,Unnamed: 0,Rnk,Rider,Team,Age,Pnt,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking,Year,Month,Day,old_elo,new_elo,old_rd,new_rd,Date1
151856,151880.0,88,810.0,10,20.0,16.0,10,-1.0,1/26/2020,-,0.0,0 km,40.0,2020,1,26,1500.0,1527.1205702859288,350.0,223.2269653039427,2020-01-26
97260,97278.0,31,468.0,59,26.0,5.0,10,-1.0,1/26/2020,-,0.0,0 km,40.0,2020,1,26,1500.0,1500.0,350.0,350.0,2020-01-26
20372,20376.0,27,91.0,109,28.0,5.0,10,-1.0,1/26/2020,-,0.0,0 km,40.0,2020,1,26,1500.0,1500.0,350.0,350.0,2020-01-26
55938,55942.0,34,252.0,Groupama - 84,26.0,20.0,10,-1.0,1/26/2020,-,0.0,0 km,40.0,2020,1,26,1500.0,1635.6028514296434,350.0,223.2269653039427,2020-01-26
21293,21297.0,48,94.0,7,22.0,5.0,10,-1.0,1/26/2020,-,0.0,0 km,40.0,2020,1,26,1500.0,1500.0,350.0,350.0,2020-01-26
55773,55777.0,71,251.0,21,24.0,5.0,10,-1.0,1/26/2020,-,0.0,0 km,40.0,2020,1,26,1500.0,1500.0,350.0,350.0,2020-01-26
21617,21621.0,24,95.0,41,29.0,32.0,10,-1.0,1/26/2020,-,0.0,0 km,40.0,2020,1,26,1500.0,1798.326273145215,350.0,223.2269653039427,2020-01-26
136815,136833.0,36,662.0,59,22.0,36.0,10,-1.0,1/26/2020,-,0.0,0 km,40.0,2020,1,26,1500.0,1500.0,350.0,350.0,2020-01-26
55653,55657.0,61,250.0,52,26.0,5.0,10,-1.0,1/26/2020,-,0.0,0 km,40.0,2020,1,26,1500.0,1500.0,350.0,350.0,2020-01-26
57684,57688.0,18,259.0,33,34.0,5.0,10,-1.0,1/26/2020,-,0.0,0 km,40.0,2020,1,26,1500.0,1500.0,350.0,350.0,2020-01-26
21978,21982.0,45,98.0,20,29.0,50.0,10,-1.0,1/26/2020,-,0.0,0 km,40.0,2020,1,26,1500.0,1961.0496948607868,350.0,223.2269653039427,2020-01-26
54999,55003.0,62,246.0,Groupama - 84,26.0,5.0,10,-1.0,1/26/2020,-,0.0,0 km,40.0,2020,1,26,1500.0,1500.0,350.0,350.0,2020-01-26
100118,100136.0,147,483.0,103,21.0,5.0,10,-1.0,1/26/2020,-,0.0,0 km,40.0,2020,1,26,1500.0,1500.0,350.0,350.0,2020-01-26
54839,54843.0,41,245.0,33,23.0,5.0,10,-1.0,1/26/2020,-,0.0,0 km,40.0,2020,1,26,1500.0,1500.0,350.0,350.0,2020-01-26
135467,135485.0,91,654.0,33,25.0,9.0,10,-1.0,1/26/2020,-,0.0,0 km,40.0,2020,1,26,1500.0,1310.1560079984995,350.0,223.2269653039427,2020-01-26
54778,54782.0,23,244.0,21,25.0,5.0,10,-1.0,1/26/2020,-,0.0,0 km,40.0,2020,1,26,1500.0,1500.0,350.0,350.0,2020-01-26
23048,23052.0,49,105.0,1,27.0,5.0,10,-1.0,1/26/2020,-,0.0,0 km,40.0,2020,1,26,1500.0,1500.0,350.0,350.0,2020-01-26
53998,54002.0,23,242.0,21,30.0,45.0,10,-1.0,1/26/2020,-,0.0,0 km,40.0,2020,1,26,1500.0,1906.8085542889296,350.0,223.2269653039427,2020-01-26
23222,23226.0,21,107.0,37,20.0,24.0,10,-1.0,1/26/2020,-,0.0,0 km,40.0,2020,1,26,1500.0,1689.8439920015005,350.0,223.2269653039427,2020-01-26
