,Unnamed: 0,Rnk,Rider,Team,Age,Pnt,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking,Year,Month,Day,old_elo,new_elo,old_rd,new_rd,Date1
17422,17426.0,29,78.0,46,30.0,90.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,2144.4561351556276,350.0,226.60561705996648,2017-01-22
173713,173755.0,74,948.0,74,33.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
18033,18037.0,12,80.0,58,29.0,55.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1920.297479449322,350.0,226.60561705996648,2017-01-22
171910,171951.0,24,942.0,84,23.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
171263,171304.0,56,935.0,105,34.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
166822,166855.0,2,894.0,42,34.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
166365,166398.0,190,893.0,52,37.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
19232,19236.0,96,87.0,95,25.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
165786,165819.0,31,890.0,46,33.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
164022,164055.0,77,880.0,114,36.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
47148,47152.0,28,214.0,10,20.0,10.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
162918,162951.0,89,877.0,41,32.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
157951,157975.0,125,843.0,10,28.0,60.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1976.3371433758984,350.0,226.60561705996648,2017-01-22
156569,156593.0,124,835.0,42,29.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
155979,156003.0,21,831.0,75,27.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
154747,154771.0,84,825.0,42,29.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
154491,154515.0,72,824.0,7,29.0,6.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
152616,152640.0,139,814.0,103,31.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
151842,151866.0,103,809.0,10,19.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
151578,151602.0,80,797.0,74,24.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
148891,148915.0,159,764.0,58,29.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
145785,145803.0,171,723.0,84,27.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
145400,145418.0,109,720.0,69-Drapac Pro Cycling Team,27.0,45.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1808.2181515961697,350.0,226.60561705996648,2017-01-22
20705,20709.0,45,92.0,1,31.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
15425,15429.0,110,71.0,32,27.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
31931,31935.0,65,141.0,84,29.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
103692,103710.0,111,505.0,19,24.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
72691,72701.0,156,323.0,41,28.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
72189,72199.0,46,320.0,114,32.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
71380,71390.0,130,313.0,41,32.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
71099,71109.0,DNF,311.0,95,28.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
40538,40542.0,120,183.0,75,22.0,70.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,2032.3768073024746,350.0,226.60561705996648,2017-01-22
70381,70391.0,17,306.0,95,34.0,20.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1471.9801680367118,350.0,226.60561705996648,2017-01-22
68869,68879.0,97,303.0,103,30.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
67793,67803.0,134,299.0,105,34.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
66841,66851.0,45,297.0,114,27.0,120.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,2312.5751269353564,350.0,226.60561705996648,2017-01-22
66182,66192.0,138,296.0,52,30.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
41811,41815.0,39,192.0,42,21.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
75851,75868.0,3,335.0,28,22.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
61607,61617.0,185,277.0,46,27.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
60692,60702.0,1,274.0,32,26.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
43080,43084.0,24,199.0,114,29.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
57512,57516.0,126,259.0,105,31.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
54882,54886.0,87,246.0,105,23.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
44853,44857.0,23,206.0,74,34.0,32.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1640.0991598164408,350.0,226.60561705996648,2017-01-22
54404,54408.0,48,243.0,19,30.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
53876,53880.0,18,242.0,42,27.0,140.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,2368.6147908619328,350.0,226.60561705996648,2017-01-22
53041,53045.0,92,239.0,74,24.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
51910,51914.0,43,235.0,52,31.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
48951,48955.0,118,222.0,42,25.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,799.5042009177963,350.0,226.60561705996648,2017-01-22
48145,48149.0,90,219.0,52,35.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,687.4248730646436,350.0,226.60561705996648,2017-01-22
61268,61278.0,110,276.0,95,32.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
104012,104030.0,53,506.0,19,31.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
76745,76762.0,109,341.0,46,27.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
78213,78230.0,137,352.0,58,26.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,631.3852091380672,350.0,226.60561705996648,2017-01-22
102580,102598.0,137,501.0,28,25.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,967.6231926975254,350.0,226.60561705996648,2017-01-22
102138,102156.0,47,500.0,7,21.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
101776,101794.0,143,497.0,32,22.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
101538,101556.0,27,495.0,75,26.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,519.3058812849144,350.0,226.60561705996648,2017-01-22
32935,32939.0,20,145.0,41,33.0,36.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1696.1388237430172,350.0,226.60561705996648,2017-01-22
100772,100790.0,64,489.0,19,29.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
34227,34231.0,81,156.0,84,32.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,463.26621735833805,350.0,226.60561705996648,2017-01-22
96351,96369.0,76,465.0,7,25.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
95075,95093.0,65,457.0,114,27.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
35206,35210.0,124,159.0,58,25.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
92186,92204.0,137,447.0,28,30.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
39103,39107.0,80,174.0,114,24.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
91434,91452.0,127,444.0,75,25.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
88937,88954.0,10,431.0,69-Drapac Pro Cycling Team,26.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
88664,88681.0,65,430.0,32,25.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
86765,86782.0,111,416.0,69-Drapac Pro Cycling Team,27.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
