,Unnamed: 0,Rnk,Rider,Team,Age,Pnt,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking,Year,Month,Day,old_elo,new_elo,old_rd,new_rd,Date1
211,211.0,74,1.0,1,30.0,5.0,19,-1.0,1/26/2014,41.333 km/h,0.0,0 km,44.0,2014,1,26,1500.0,1500.0,350.0,350.0,2014-01-26
105146,105164.0,179,514.0,5,22.0,5.0,19,-1.0,1/26/2014,41.333 km/h,0.0,0 km,44.0,2014,1,26,1500.0,1500.0,350.0,350.0,2014-01-26
109760,109778.0,139,530.0,26,23.0,5.0,19,-1.0,1/26/2014,41.333 km/h,0.0,0 km,44.0,2014,1,26,1500.0,1500.0,350.0,350.0,2014-01-26
110115,110133.0,10,531.0,176,20.0,32.0,19,-1.0,1/26/2014,41.333 km/h,0.0,0 km,44.0,2014,1,26,1500.0,1689.8439920015005,350.0,223.2269653039427,2014-01-26
111799,111817.0,166,541.0,65,31.0,5.0,19,-1.0,1/26/2014,41.333 km/h,0.0,0 km,44.0,2014,1,26,1500.0,1500.0,350.0,350.0,2014-01-26
112232,112250.0,137,543.0,65,31.0,5.0,19,-1.0,1/26/2014,41.333 km/h,0.0,0 km,44.0,2014,1,26,1500.0,1500.0,350.0,350.0,2014-01-26
112837,112855.0,116,549.0,92,27.0,5.0,19,-1.0,1/26/2014,41.333 km/h,0.0,0 km,44.0,2014,1,26,1500.0,1500.0,350.0,350.0,2014-01-26
114934,114952.0,139,557.0,105,29.0,55.0,19,-1.0,1/26/2014,41.333 km/h,0.0,0 km,44.0,2014,1,26,1500.0,1961.0496948607868,350.0,223.2269653039427,2014-01-26
115312,115330.0,38,559.0,101,21.0,5.0,19,-1.0,1/26/2014,41.333 km/h,0.0,0 km,44.0,2014,1,26,1500.0,1500.0,350.0,350.0,2014-01-26
115888,115906.0,179,561.0,58,27.0,90.0,19,-1.0,1/26/2014,41.333 km/h,0.0,0 km,44.0,2014,1,26,1500.0,2178.014257148216,350.0,223.2269653039427,2014-01-26
117252,117270.0,22,569.0,55,27.0,50.0,19,-1.0,1/26/2014,41.333 km/h,0.0,0 km,44.0,2014,1,26,1500.0,1906.8085542889296,350.0,223.2269653039427,2014-01-26
117731,117749.0,74,570.0,26,29.0,100.0,19,-1.0,1/26/2014,41.333 km/h,0.0,0 km,44.0,2014,1,26,1500.0,2232.2553977200732,350.0,223.2269653039427,2014-01-26
121844,121862.0,6,584.0,58,28.0,140.0,19,-1.0,1/26/2014,41.333 km/h,0.0,0 km,44.0,2014,1,26,1500.0,2394.9788194356456,350.0,223.2269653039427,2014-01-26
103896,103914.0,143,506.0,81,28.0,5.0,19,-1.0,1/26/2014,41.333 km/h,0.0,0 km,44.0,2014,1,26,1500.0,1500.0,350.0,350.0,2014-01-26
123943,123961.0,44,592.0,84.fr,31.0,5.0,19,-1.0,1/26/2014,41.333 km/h,0.0,0 km,44.0,2014,1,26,1500.0,1500.0,350.0,350.0,2014-01-26
131457,131475.0,DNF,628.0,65,28.0,5.0,19,-1.0,1/26/2014,41.333 km/h,0.0,0 km,44.0,2014,1,26,1500.0,1500.0,350.0,350.0,2014-01-26
133993,134011.0,54,649.0,105,27.0,8.0,19,-1.0,1/26/2014,41.333 km/h,0.0,0 km,44.0,2014,1,26,1500.0,1500.0,350.0,350.0,2014-01-26
135596,135614.0,153,656.0,108,25.0,5.0,19,-1.0,1/26/2014,41.333 km/h,0.0,0 km,44.0,2014,1,26,1500.0,1500.0,350.0,350.0,2014-01-26
