,Unnamed: 0,Rnk,Rider,Team,Age,Pnt,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking,Year,Month,Day,old_elo,new_elo,old_rd,new_rd,Date1
224242,224296.0,70,1433.0,74,24.0,90.0,19,-1.0,1/23/2011,-,0.0,0 km,34.0,2011,1,23,1500.0,2193.9983207129994,350.0,221.59956945717906,2011-01-23
174755,174797.0,21,966.0,67,24.0,5.0,19,-1.0,1/23/2011,-,0.0,0 km,34.0,2011,1,23,1500.0,1500.0,350.0,350.0,2011-01-23
176795,176838.0,89,1017.0,105,26.0,5.0,19,-1.0,1/23/2011,-,0.0,0 km,34.0,2011,1,23,1500.0,1500.0,350.0,350.0,2011-01-23
181565,181608.0,134,1078.0,57,32.0,5.0,19,-1.0,1/23/2011,-,0.0,0 km,34.0,2011,1,23,1500.0,1500.0,350.0,350.0,2011-01-23
181963,182006.0,74,1080.0,93,27.0,5.0,19,-1.0,1/23/2011,-,0.0,0 km,34.0,2011,1,23,1500.0,1500.0,350.0,350.0,2011-01-23
182405,182448.0,72,1081.0,144,27.0,5.0,19,-1.0,1/23/2011,-,0.0,0 km,34.0,2011,1,23,1500.0,1500.0,350.0,350.0,2011-01-23
182919,182963.0,DNF,1083.0,98,31.0,5.0,19,-1.0,1/23/2011,-,0.0,0 km,34.0,2011,1,23,1500.0,1500.0,350.0,350.0,2011-01-23
183480,183524.0,123,1087.0,1,29.0,5.0,19,-1.0,1/23/2011,-,0.0,0 km,34.0,2011,1,23,1500.0,1500.0,350.0,350.0,2011-01-23
186057,186102.0,111,1103.0,92,25.0,5.0,19,-1.0,1/23/2011,-,0.0,0 km,34.0,2011,1,23,1500.0,1500.0,350.0,350.0,2011-01-23
189030,189075.0,86,1121.0,67,24.0,28.0,19,-1.0,1/23/2011,-,0.0,0 km,34.0,2011,1,23,1500.0,1713.537944834769,350.0,221.59956945717906,2011-01-23
192991,193036.0,134,1146.0,23,22.0,5.0,19,-1.0,1/23/2011,-,0.0,0 km,34.0,2011,1,23,1500.0,1500.0,350.0,350.0,2011-01-23
194877,194930.0,61,1163.0,142,23.0,5.0,19,-1.0,1/23/2011,-,0.0,0 km,34.0,2011,1,23,1500.0,1500.0,350.0,350.0,2011-01-23
195127,195180.0,139,1165.0,67,26.0,5.0,19,-1.0,1/23/2011,-,0.0,0 km,34.0,2011,1,23,1500.0,1500.0,350.0,350.0,2011-01-23
170873,170914.0,104,935.0,105,28.0,5.0,19,-1.0,1/23/2011,-,0.0,0 km,34.0,2011,1,23,1500.0,1500.0,350.0,350.0,2011-01-23
196274,196327.0,152,1176.0,104,31.0,5.0,19,-1.0,1/23/2011,-,0.0,0 km,34.0,2011,1,23,1500.0,1500.0,350.0,350.0,2011-01-23
196909,196962.0,135,1187.0,49,30.0,50.0,19,-1.0,1/23/2011,-,0.0,0 km,34.0,2011,1,23,1500.0,1927.075889669538,350.0,221.59956945717906,2011-01-23
197587,197640.0,106,1195.0,90,26.0,5.0,19,-1.0,1/23/2011,-,0.0,0 km,34.0,2011,1,23,1500.0,1500.0,350.0,350.0,2011-01-23
199787,199840.0,13,1225.0,105,21.0,5.0,19,-1.0,1/23/2011,-,0.0,0 km,34.0,2011,1,23,1500.0,1500.0,350.0,350.0,2011-01-23
204960,205013.0,117,1273.0,79,26.0,5.0,19,-1.0,1/23/2011,-,0.0,0 km,34.0,2011,1,23,1500.0,1500.0,350.0,350.0,2011-01-23
210978,211031.0,155,1311.0,57,34.0,5.0,19,-1.0,1/23/2011,-,0.0,0 km,34.0,2011,1,23,1500.0,1500.0,350.0,350.0,2011-01-23
214497,214550.0,68,1367.0,54,26.0,5.0,19,-1.0,1/23/2011,-,0.0,0 km,34.0,2011,1,23,1500.0,1500.0,350.0,350.0,2011-01-23
221563,221616.0,DNF,1407.0,54,23.0,5.0,19,-1.0,1/23/2011,-,0.0,0 km,34.0,2011,1,23,1500.0,1500.0,350.0,350.0,2011-01-23
222221,222274.0,DNF,1414.0,79,21.0,5.0,19,-1.0,1/23/2011,-,0.0,0 km,34.0,2011,1,23,1500.0,1500.0,350.0,350.0,2011-01-23
222668,222721.0,99,1417.0,74,26.0,20.0,19,-1.0,1/23/2011,-,0.0,0 km,34.0,2011,1,23,1500.0,1606.7689724173845,350.0,221.59956945717906,2011-01-23
223264,223318.0,121,1420.0,143,29.0,5.0,19,-1.0,1/23/2011,-,0.0,0 km,34.0,2011,1,23,1500.0,1500.0,350.0,350.0,2011-01-23
223703,223757.0,44,1427.0,54,24.0,5.0,19,-1.0,1/23/2011,-,0.0,0 km,34.0,2011,1,23,1500.0,1500.0,350.0,350.0,2011-01-23
225735,225789.0,150,1449.0,104,24.0,190.0,19,-1.0,1/23/2011,-,0.0,0 km,34.0,2011,1,23,1500.0,2514.305237965153,350.0,221.59956945717906,2011-01-23
196559,196612.0,89,1179.0,90,27.0,5.0,19,-1.0,1/23/2011,-,0.0,0 km,34.0,2011,1,23,1500.0,1500.0,350.0,350.0,2011-01-23
170194,170235.0,142,930.0,98,30.0,5.0,19,-1.0,1/23/2011,-,0.0,0 km,34.0,2011,1,23,1500.0,1500.0,350.0,350.0,2011-01-23
166554,166587.0,105,894.0,104,28.0,5.0,19,-1.0,1/23/2011,-,0.0,0 km,34.0,2011,1,23,1500.0,1500.0,350.0,350.0,2011-01-23
165201,165234.0,89,889.0,104,29.0,5.0,19,-1.0,1/23/2011,-,0.0,0 km,34.0,2011,1,23,1500.0,1500.0,350.0,350.0,2011-01-23
47678,47682.0,93,219.0,143,29.0,5.0,19,-1.0,1/23/2011,-,0.0,0 km,34.0,2011,1,23,1500.0,1500.0,350.0,350.0,2011-01-23
48416,48420.0,36,220.0,67,21.0,5.0,19,-1.0,1/23/2011,-,0.0,0 km,34.0,2011,1,23,1500.0,1500.0,350.0,350.0,2011-01-23
55032,55036.0,24,247.0,67,21.0,5.0,19,-1.0,1/23/2011,-,0.0,0 km,34.0,2011,1,23,1500.0,1500.0,350.0,350.0,2011-01-23
56132,56136.0,126,255.0,93,24.0,5.0,19,-1.0,1/23/2011,-,0.0,0 km,34.0,2011,1,23,1500.0,1500.0,350.0,350.0,2011-01-23
