,Unnamed: 0,Rnk,Rider,Team,Age,Pnt,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking,Year,Month,Day,old_elo,new_elo,old_rd,new_rd,old_team_elo,new_team_elo,old_team_rd,new_team_rd,Date1
166794,166827.0,120,894.0,42,33.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,1460.061742373529,350.0,267.3822067751187,2016-01-24
166295,166328.0,53,893.0,52,36.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,1699.6912881323556,350.0,267.3822067751187,2016-01-24
163958,163991.0,107,880.0,101,35.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,1539.938257626471,350.0,267.3822067751187,2016-01-24
163496,163529.0,128,879.0,84,34.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,1619.8147728794133,350.0,267.3822067751187,2016-01-24
160454,160486.0,34,865.0,188,24.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,900.9261356029336,350.0,267.3822067751187,2016-01-24
19154,19158.0,89,87.0,101,24.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,1539.938257626471,350.0,267.3822067751187,2016-01-24
157944,157968.0,116,843.0,188,27.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,900.9261356029336,350.0,267.3822067751187,2016-01-24
157264,157288.0,71,841.0,1,24.0,110.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,2286.496538291931,350.0,223.2269653039427,1500.0,1859.44431863824,350.0,267.3822067751187,2016-01-24
156512,156536.0,152,835.0,42,28.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,1460.061742373529,350.0,267.3822067751187,2016-01-24
155754,155778.0,8,830.0,84,32.0,80.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,2123.773116576359,350.0,223.2269653039427,1500.0,1619.8147728794133,350.0,267.3822067751187,2016-01-24
