13,14,15,,,0,VACHON Florian,26.0,Bretagne Schuller,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15,16,,,0,JEANNESSON Arnold,25.0,FDJ,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16,17,,,0,GAVAZZI Francesco,26.0,Lampre - ISD,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17,18,,,0,DELPECH Jean-Luc,31.0,Bretagne Schuller,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,19,,,0,RUIJGH Rob,24.0,Vacansoleil - DCM,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19,20,,,0,PAURIOL Rémi,28.0,FDJ,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,21,,,0,HAEDO Lucas Sebastián,27.0,Saxo Bank - Sungard,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,21,22,,,0,KLÖDEN Andreas,35.0,RadioShack,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,22,23,,,0,GERDEMANN Linus,28.0,Leopard Trek,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,23,24,,,0,FUGLSANG Jakob,25.0,Leopard Trek,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,24,25,,,0,SÁNCHEZ Luis León,27.0,Rabobank Cycling Team,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,25,26,,,0,VAN EMDEN Jos,26.0,Rabobank Cycling Team,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,26,27,,,0,GERRANS Simon,30.0,Sky Procycling,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,27,28,,,0,CHAVANEL Sylvain,31.0,Quickstep Cycling Team,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,28,29,,,0,GALIMZYANOV Denis,23.0,Team Katusha,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,29,30,,,0,AGNOLI Valerio,26.0,Liquigas - Cannondale,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,30,31,,,0,DION Renaud,33.0,Bretagne Schuller,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,31,32,,,0,KREUZIGER Roman,24.0,Pro Team Astana,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,32,33,,,0,KIŠERLOVSKI Robert,24.0,Pro Team Astana,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,33,34,,,0,FÉDRIGO Pierrick,32.0,FDJ,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,34,35,,,0,PICHOT Alexandre,28.0,Team Europcar,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,35,36,,,0,PASAMONTES Luis,31.0,Movistar Team,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,36,37,,,0,VOECKLER Thomas,31.0,Team Europcar,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,37,38,,,0,OFFREDO Yoann,24.0,FDJ,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,38,39,,,0,MONFORT Maxime,28.0,Leopard Trek,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,39,40,,,0,DE WEERT Kevin,28.0,Quickstep Cycling Team,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,40,41,,,0,PINEAU Jérôme,31.0,Quickstep Cycling Team,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,41,42,,,0,MARTIN Tony,25.0,HTC - High Road,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,42,43,,,0,PORTE Richie,26.0,Saxo Bank - Sungard,,,",,0:00",Paris - Nice,1.0,06 March 2011,37.821 km/h,0,154.5 km,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
