,Unnamed: 0,Rnk,Rider,Team,Age,Pnt,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking,Year,Month,Day,old_elo,new_elo,old_rd,new_rd,old_team_elo,new_team_elo,old_team_rd,new_team_rd,Date1
67,67.0,105,1.0,1,28.0,5.0,10,-1.0,1/22/2012,38.661 km/h,0.0,0 km,32.0,2012,1,22,1500.0,1500.0,350.0,350.0,1500.0,2245.887127350119,350.0,258.89154034474694,2012-01-22
166625,166658.0,175,894.0,23,29.0,5.0,10,-1.0,1/22/2012,38.661 km/h,0.0,0 km,32.0,2012,1,22,1500.0,1500.0,350.0,350.0,1500.0,1947.5322764100717,350.0,258.89154034474694,2012-01-22
172679,172721.0,81,945.0,74,26.0,5.0,10,-1.0,1/22/2012,38.661 km/h,0.0,0 km,32.0,2012,1,22,1500.0,1500.0,350.0,350.0,1500.0,1574.588712735012,350.0,258.89154034474694,2012-01-22
173411,173453.0,17,948.0,74,28.0,5.0,10,-1.0,1/22/2012,38.661 km/h,0.0,0 km,32.0,2012,1,22,1500.0,1500.0,350.0,350.0,1500.0,1574.588712735012,350.0,258.89154034474694,2012-01-22
174809,174851.0,25,966.0,67,25.0,16.0,10,-1.0,1/22/2012,38.661 km/h,0.0,0 km,32.0,2012,1,22,1500.0,1706.9994759752453,350.0,218.46063512634547,1500.0,1500.0,350.0,258.89154034474694,2012-01-22
175553,175596.0,38,980.0,105,22.0,5.0,10,-1.0,1/22/2012,38.661 km/h,0.0,0 km,32.0,2012,1,22,1500.0,1500.0,350.0,350.0,1500.0,1649.177425470024,350.0,258.89154034474694,2012-01-22
177470,177513.0,38,1035.0,1,27.0,90.0,10,-1.0,1/22/2012,38.661 km/h,0.0,0 km,32.0,2012,1,22,1500.0,2224.498165913358,350.0,218.46063512634547,1500.0,2245.887127350119,350.0,258.89154034474694,2012-01-22
178048,178091.0,119,1041.0,98 - Nissan,31.0,5.0,10,-1.0,1/22/2012,38.661 km/h,0.0,0 km,32.0,2012,1,22,1500.0,1500.0,350.0,350.0,1500.0,2171.2984146151075,350.0,258.89154034474694,2012-01-22
181600,181643.0,119,1078.0,57,33.0,5.0,10,-1.0,1/22/2012,38.661 km/h,0.0,0 km,32.0,2012,1,22,1500.0,1500.0,350.0,350.0,1500.0,2096.7097018800955,350.0,258.89154034474694,2012-01-22
183535,183579.0,7,1087.0,1,30.0,5.0,10,-1.0,1/22/2012,38.661 km/h,0.0,0 km,32.0,2012,1,22,1500.0,1500.0,350.0,350.0,1500.0,2245.887127350119,350.0,258.89154034474694,2012-01-22
184290,184335.0,88,1090.0,92,27.0,5.0,10,-1.0,1/22/2012,38.661 km/h,0.0,0 km,32.0,2012,1,22,1500.0,1500.0,350.0,350.0,1500.0,1872.94356367506,350.0,258.89154034474694,2012-01-22
187241,187286.0,54,1116.0,26,31.0,250.0,10,-1.0,1/22/2012,38.661 km/h,0.0,0 km,32.0,2012,1,22,1500.0,2586.7472488700378,350.0,218.46063512634547,1500.0,2320.4758400851315,350.0,258.89154034474694,2012-01-22
187849,187894.0,141,1118.0,84 - BigMat,28.0,10.0,10,-1.0,1/22/2012,38.661 km/h,0.0,0 km,32.0,2012,1,22,1500.0,1551.7498689938113,350.0,218.46063512634547,1500.0,1350.822574529976,350.0,258.89154034474694,2012-01-22
157449,157473.0,22,842.0,55,28.0,32.0,10,-1.0,1/22/2012,38.661 km/h,0.0,0 km,32.0,2012,1,22,1500.0,1913.9989519504902,350.0,218.46063512634547,1500.0,1723.766138205036,350.0,258.89154034474694,2012-01-22
189315,189360.0,15,1122.0,98 - Nissan,26.0,160.0,10,-1.0,1/22/2012,38.661 km/h,0.0,0 km,32.0,2012,1,22,1500.0,2483.247510882415,350.0,218.46063512634547,1500.0,2171.2984146151075,350.0,258.89154034474694,2012-01-22
195211,195264.0,163,1165.0,67,27.0,5.0,10,-1.0,1/22/2012,38.661 km/h,0.0,0 km,32.0,2012,1,22,1500.0,1500.0,350.0,350.0,1500.0,1500.0,350.0,258.89154034474694,2012-01-22
196329,196382.0,163,1176.0,57,32.0,5.0,10,-1.0,1/22/2012,38.661 km/h,0.0,0 km,32.0,2012,1,22,1500.0,1500.0,350.0,350.0,1500.0,2096.7097018800955,350.0,258.89154034474694,2012-01-22
196534,196587.0,131,1178.0,203,25.0,5.0,10,-1.0,1/22/2012,38.661 km/h,0.0,0 km,32.0,2012,1,22,1500.0,672.0020960990191,350.0,218.46063512634547,1500.0,754.1128726498807,350.0,258.89154034474694,2012-01-22
197004,197057.0,160,1187.0,49,31.0,5.0,10,-1.0,1/22/2012,38.661 km/h,0.0,0 km,32.0,2012,1,22,1500.0,1500.0,350.0,350.0,1500.0,679.5241599148686,350.0,258.89154034474694,2012-01-22
197348,197401.0,36,1190.0,55,26.0,5.0,10,-1.0,1/22/2012,38.661 km/h,0.0,0 km,32.0,2012,1,22,1500.0,1500.0,350.0,350.0,1500.0,1723.766138205036,350.0,258.89154034474694,2012-01-22
197831,197884.0,111,1196.0,55,21.0,5.0,10,-1.0,1/22/2012,38.661 km/h,0.0,0 km,32.0,2012,1,22,1500.0,1500.0,350.0,350.0,1500.0,1723.766138205036,350.0,258.89154034474694,2012-01-22
198473,198526.0,5,1203.0,92,24.0,5.0,10,-1.0,1/22/2012,38.661 km/h,0.0,0 km,32.0,2012,1,22,1500.0,1500.0,350.0,350.0,1500.0,1872.94356367506,350.0,258.89154034474694,2012-01-22
199848,199901.0,144,1228.0,204,24.0,5.0,10,-1.0,1/22/2012,38.661 km/h,0.0,0 km,32.0,2012,1,22,1500.0,413.25275112996223,350.0,218.46063512634547,1500.0,828.7015853848926,350.0,258.89154034474694,2012-01-22
203208,203261.0,79,1264.0,74,33.0,5.0,10,-1.0,1/22/2012,38.661 km/h,0.0,0 km,32.0,2012,1,22,1500.0,1500.0,350.0,350.0,1500.0,1574.588712735012,350.0,258.89154034474694,2012-01-22
205391,205444.0,158,1274.0,105,32.0,5.0,10,-1.0,1/22/2012,38.661 km/h,0.0,0 km,32.0,2012,1,22,1500.0,1500.0,350.0,350.0,1500.0,1649.177425470024,350.0,258.89154034474694,2012-01-22
262245,262335.0,190,1999.0,41,25.0,5.0,10,-1.0,1/22/2012,38.661 km/h,0.0,0 km,32.0,2012,1,22,1500.0,1500.0,350.0,350.0,1500.0,903.2902981199045,350.0,258.89154034474694,2012-01-22
211009,211062.0,108,1311.0,64,35.0,5.0,10,-1.0,1/22/2012,38.661 km/h,0.0,0 km,32.0,2012,1,22,1500.0,1500.0,350.0,350.0,1500.0,1276.2338617949642,350.0,258.89154034474694,2012-01-22
193085,193130.0,172,1147.0,41,31.0,5.0,10,-1.0,1/22/2012,38.661 km/h,0.0,0 km,32.0,2012,1,22,1500.0,1500.0,350.0,350.0,1500.0,903.2902981199045,350.0,258.89154034474694,2012-01-22
211798,211851.0,DNF,1328.0,26,22.0,5.0,10,-1.0,1/22/2012,38.661 km/h,0.0,0 km,32.0,2012,1,22,1500.0,1500.0,350.0,350.0,1500.0,2320.4758400851315,350.0,258.89154034474694,2012-01-22
144902,144920.0,138,719.0,187,26.0,5.0,10,-1.0,1/22/2012,38.661 km/h,0.0,0 km,32.0,2012,1,22,1500.0,723.7519650928305,350.0,218.46063512634547,1500.0,977.8790108549164,350.0,258.89154034474694,2012-01-22
