,Unnamed: 0,Rnk,Rider,Team,Age,Pnt,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking,Year,Month,Day,old_elo,new_elo,old_rd,new_rd,Date1
34983,34987.0,12,159.0,84,21.0,50.0,10,-1.0,1/27/2013,41.054 km/h,0.0,0 km,43.0,2013,1,27,1500.0,1864.257815522746,350.0,226.60561705996648,2013-01-27
48490,48494.0,81,220.0,101,23.0,5.0,10,-1.0,1/27/2013,41.054 km/h,0.0,0 km,43.0,2013,1,27,1500.0,1500.0,350.0,350.0,2013-01-27
133946,133964.0,102,649.0,98 - Leopard,26.0,120.0,10,-1.0,1/27/2013,41.054 km/h,0.0,0 km,43.0,2013,1,27,1500.0,2312.5751269353564,350.0,226.60561705996648,2013-01-27
211055,211108.0,26,1311.0,64,36.0,5.0,10,-1.0,1/27/2013,41.054 km/h,0.0,0 km,43.0,2013,1,27,1500.0,1500.0,350.0,350.0,2013-01-27
163742,163775.0,52,880.0,101,32.0,5.0,10,-1.0,1/27/2013,41.054 km/h,0.0,0 km,43.0,2013,1,27,1500.0,575.3455452114908,350.0,226.60561705996648,2013-01-27
173995,174037.0,134,951.0,77,24.0,5.0,10,-1.0,1/27/2013,41.054 km/h,0.0,0 km,43.0,2013,1,27,1500.0,1500.0,350.0,350.0,2013-01-27
48907,48911.0,22,222.0,81,21.0,5.0,10,-1.0,1/27/2013,41.054 km/h,0.0,0 km,43.0,2013,1,27,1500.0,1500.0,350.0,350.0,2013-01-27
49350,49354.0,114,225.0,41,25.0,5.0,10,-1.0,1/27/2013,41.054 km/h,0.0,0 km,43.0,2013,1,27,1500.0,1500.0,350.0,350.0,2013-01-27
103844,103862.0,39,506.0,81,27.0,60.0,10,-1.0,1/27/2013,41.054 km/h,0.0,0 km,43.0,2013,1,27,1500.0,1976.3371433758984,350.0,226.60561705996648,2013-01-27
227643,227697.0,27,1467.0,24,35.0,5.0,10,-1.0,1/27/2013,41.054 km/h,0.0,0 km,43.0,2013,1,27,1500.0,1500.0,350.0,350.0,2013-01-27
