,Unnamed: 0,Rnk,Rider,Team,Age,Pnt,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking,Year,Month,Day,old_elo,new_elo,old_rd,new_rd,old_team_elo,new_team_elo,old_team_rd,new_team_rd,Date1
199936,199989.0,94,1229.0,10,21.0,5.0,10,-1.0,1/21/2018,-,0.0,0 km,42.0,2018,1,21,1500.0,1500.0,350.0,350.0,1500.0,1172.760975678168,350.0,270.4198847298075,2018-01-21
105379,105397.0,128,514.0,103,26.0,5.0,10,-1.0,1/21/2018,-,0.0,0 km,42.0,2018,1,21,1500.0,1500.0,350.0,350.0,1500.0,1336.3804878390843,350.0,270.4198847298075,2018-01-21
102186,102204.0,138,500.0,7,22.0,5.0,10,-1.0,1/21/2018,-,0.0,0 km,42.0,2018,1,21,1500.0,1500.0,350.0,350.0,1500.0,1581.809756080458,350.0,270.4198847298075,2018-01-21
14500,14504.0,81,66.0,19,32.0,5.0,10,-1.0,1/21/2018,-,0.0,0 km,42.0,2018,1,21,1500.0,1500.0,350.0,350.0,1500.0,1909.0487804022898,350.0,270.4198847298075,2018-01-21
101599,101617.0,17,495.0,75,27.0,5.0,10,-1.0,1/21/2018,-,0.0,0 km,42.0,2018,1,21,1500.0,1500.0,350.0,350.0,1500.0,845.5219513563366,350.0,270.4198847298075,2018-01-21
97160,97178.0,125,468.0,58,24.0,5.0,10,-1.0,1/21/2018,-,0.0,0 km,42.0,2018,1,21,1500.0,1500.0,350.0,350.0,1500.0,1827.239024321832,350.0,270.4198847298075,2018-01-21
96115,96133.0,50,462.0,103,25.0,5.0,10,-1.0,1/21/2018,-,0.0,0 km,42.0,2018,1,21,1500.0,1500.0,350.0,350.0,1500.0,1336.3804878390843,350.0,270.4198847298075,2018-01-21
199928,199981.0,69,1228.0,10,30.0,5.0,10,-1.0,1/21/2018,-,0.0,0 km,42.0,2018,1,21,1500.0,1500.0,350.0,350.0,1500.0,1172.760975678168,350.0,270.4198847298075,2018-01-21
93871,93889.0,135,452.0,46,35.0,5.0,10,-1.0,1/21/2018,-,0.0,0 km,42.0,2018,1,21,1500.0,1500.0,350.0,350.0,1500.0,1500.0,350.0,270.4198847298075,2018-01-21
92462,92480.0,175,448.0,19,24.0,5.0,10,-1.0,1/21/2018,-,0.0,0 km,42.0,2018,1,21,1500.0,1500.0,350.0,350.0,1500.0,1909.0487804022898,350.0,270.4198847298075,2018-01-21
15489,15493.0,14,71.0,32,28.0,5.0,10,-1.0,1/21/2018,-,0.0,0 km,42.0,2018,1,21,1500.0,1500.0,350.0,350.0,1500.0,1254.5707317586262,350.0,270.4198847298075,2018-01-21
15970,15974.0,42,73.0,7,23.0,5.0,10,-1.0,1/21/2018,-,0.0,0 km,42.0,2018,1,21,1500.0,1500.0,350.0,350.0,1500.0,1581.809756080458,350.0,270.4198847298075,2018-01-21
88152,88169.0,103,426.0,32,31.0,5.0,10,-1.0,1/21/2018,-,0.0,0 km,42.0,2018,1,21,1500.0,1500.0,350.0,350.0,1500.0,1254.5707317586262,350.0,270.4198847298075,2018-01-21
87027,87044.0,49,418.0,58,22.0,5.0,10,-1.0,1/21/2018,-,0.0,0 km,42.0,2018,1,21,1500.0,1500.0,350.0,350.0,1500.0,1827.239024321832,350.0,270.4198847298075,2018-01-21
16516,16520.0,79,75.0,1,28.0,5.0,10,-1.0,1/21/2018,-,0.0,0 km,42.0,2018,1,21,1500.0,1500.0,350.0,350.0,1500.0,763.7121952758787,350.0,270.4198847298075,2018-01-21
86803,86820.0,143,416.0,29,28.0,5.0,10,-1.0,1/21/2018,-,0.0,0 km,42.0,2018,1,21,1500.0,1500.0,350.0,350.0,1500.0,1090.9512195977102,350.0,270.4198847298075,2018-01-21
86455,86472.0,83,413.0,41,26.0,5.0,10,-1.0,1/21/2018,-,0.0,0 km,42.0,2018,1,21,1500.0,1500.0,350.0,350.0,1500.0,1663.619512160916,350.0,270.4198847298075,2018-01-21
