,Unnamed: 0,Rnk,Rider,Team,Age,Pnt,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking,Year,Month,Day,old_elo,new_elo,old_rd,new_rd,old_team_elo,new_team_elo,old_team_rd,new_team_rd,Date1
181957,182000.0,166,1079.0,10,22.0,5.0,10,-1.0,1/20/2019,-,0.0,0 km,40.0,2019,1,20,1500.0,1500.0,350.0,350.0,1500.0,1009.1414635172523,350.0,270.4198847298075,2019-01-20
14589,14593.0,100,66.0,20,33.0,5.0,10,-1.0,1/20/2019,-,0.0,0 km,40.0,2019,1,20,1500.0,1500.0,350.0,350.0,1500.0,1500.0,350.0,270.4198847298075,2019-01-20
91545,91563.0,83,444.0,8,26.0,5.0,10,-1.0,1/20/2019,-,0.0,0 km,40.0,2019,1,20,1500.0,1500.0,350.0,350.0,1500.0,1581.809756080458,350.0,270.4198847298075,2019-01-20
88777,88794.0,89,430.0,32,27.0,5.0,10,-1.0,1/20/2019,-,0.0,0 km,40.0,2019,1,20,1500.0,1500.0,350.0,350.0,1500.0,1254.5707317586262,350.0,270.4198847298075,2019-01-20
88219,88236.0,141,426.0,32,32.0,5.0,10,-1.0,1/20/2019,-,0.0,0 km,40.0,2019,1,20,1500.0,1500.0,350.0,350.0,1500.0,1254.5707317586262,350.0,270.4198847298075,2019-01-20
86867,86884.0,95,416.0,30,29.0,5.0,10,-1.0,1/20/2019,-,0.0,0 km,40.0,2019,1,20,1500.0,1500.0,350.0,350.0,1500.0,1745.4292682413738,350.0,270.4198847298075,2019-01-20
86475,86492.0,44,413.0,41,27.0,5.0,10,-1.0,1/20/2019,-,0.0,0 km,40.0,2019,1,20,1500.0,1500.0,350.0,350.0,1500.0,1990.8585364827477,350.0,270.4198847298075,2019-01-20
85865,85882.0,66,407.0,7,32.0,5.0,10,-1.0,1/20/2019,-,0.0,0 km,40.0,2019,1,20,1500.0,1500.0,350.0,350.0,1500.0,2154.4780486436634,350.0,270.4198847298075,2019-01-20
181949,181992.0,36,1078.0,11,40.0,5.0,10,-1.0,1/20/2019,-,0.0,0 km,40.0,2019,1,20,1500.0,1500.0,350.0,350.0,1500.0,2236.287804724121,350.0,270.4198847298075,2019-01-20
17539,17543.0,37,78.0,47,32.0,5.0,10,-1.0,1/20/2019,-,0.0,0 km,40.0,2019,1,20,1500.0,1500.0,350.0,350.0,1500.0,1336.3804878390843,350.0,270.4198847298075,2019-01-20
84214,84231.0,120,394.0,7,24.0,5.0,10,-1.0,1/20/2019,-,0.0,0 km,40.0,2019,1,20,1500.0,1500.0,350.0,350.0,1500.0,2154.4780486436634,350.0,270.4198847298075,2019-01-20
83885,83902.0,25,392.0,20,35.0,70.0,10,-1.0,1/20/2019,-,0.0,0 km,40.0,2019,1,20,1500.0,2032.3768073024746,350.0,226.60561705996648,1500.0,1500.0,350.0,270.4198847298075,2019-01-20
17694,17698.0,87,79.0,74,24.0,5.0,10,-1.0,1/20/2019,-,0.0,0 km,40.0,2019,1,20,1500.0,1500.0,350.0,350.0,1500.0,845.5219513563366,350.0,270.4198847298075,2019-01-20
81122,81139.0,DNF,371.0,75,27.0,5.0,10,-1.0,1/20/2019,-,0.0,0 km,40.0,2019,1,20,1500.0,1500.0,350.0,350.0,1500.0,1663.619512160916,350.0,270.4198847298075,2019-01-20
79981,79998.0,131,365.0,47,25.0,5.0,10,-1.0,1/20/2019,-,0.0,0 km,40.0,2019,1,20,1500.0,1500.0,350.0,350.0,1500.0,1336.3804878390843,350.0,270.4198847298075,2019-01-20
79179,79196.0,83,361.0,41,27.0,5.0,10,-1.0,1/20/2019,-,0.0,0 km,40.0,2019,1,20,1500.0,1500.0,350.0,350.0,1500.0,1990.8585364827477,350.0,270.4198847298075,2019-01-20
78318,78335.0,74,352.0,58,28.0,5.0,10,-1.0,1/20/2019,-,0.0,0 km,40.0,2019,1,20,1500.0,1500.0,350.0,350.0,1500.0,2072.668292563206,350.0,270.4198847298075,2019-01-20
76890,76907.0,127,341.0,47,29.0,5.0,10,-1.0,1/20/2019,-,0.0,0 km,40.0,2019,1,20,1500.0,1500.0,350.0,350.0,1500.0,1336.3804878390843,350.0,270.4198847298075,2019-01-20
75934,75951.0,111,335.0,52,24.0,5.0,10,-1.0,1/20/2019,-,0.0,0 km,40.0,2019,1,20,1500.0,1500.0,350.0,350.0,1500.0,927.3317074367944,350.0,270.4198847298075,2019-01-20
75349,75359.0,26,332.0,1,29.0,12.0,10,-1.0,1/20/2019,-,0.0,0 km,40.0,2019,1,20,1500.0,1359.9008401835592,350.0,226.60561705996648,1500.0,1172.760975678168,350.0,270.4198847298075,2019-01-20
91715,91733.0,156,445.0,103,25.0,5.0,10,-1.0,1/20/2019,-,0.0,0 km,40.0,2019,1,20,1500.0,1500.0,350.0,350.0,1500.0,1827.239024321832,350.0,270.4198847298075,2019-01-20
92251,92269.0,118,447.0,52,32.0,5.0,10,-1.0,1/20/2019,-,0.0,0 km,40.0,2019,1,20,1500.0,1500.0,350.0,350.0,1500.0,927.3317074367944,350.0,270.4198847298075,2019-01-20
93914,93932.0,59,452.0,47,36.0,5.0,10,-1.0,1/20/2019,-,0.0,0 km,40.0,2019,1,20,1500.0,1500.0,350.0,350.0,1500.0,1336.3804878390843,350.0,270.4198847298075,2019-01-20
30202,30206.0,59,135.0,1,26.0,5.0,10,-1.0,1/20/2019,-,0.0,0 km,40.0,2019,1,20,1500.0,1500.0,350.0,350.0,1500.0,1172.760975678168,350.0,270.4198847298075,2019-01-20
130548,130566.0,117,623.0,123,34.0,5.0,10,-1.0,1/20/2019,-,0.0,0 km,40.0,2019,1,20,1500.0,1500.0,350.0,350.0,1500.0,1909.0487804022898,350.0,270.4198847298075,2019-01-20
129715,129733.0,117,617.0,47,33.0,5.0,10,-1.0,1/20/2019,-,0.0,0 km,40.0,2019,1,20,1500.0,1500.0,350.0,350.0,1500.0,1336.3804878390843,350.0,270.4198847298075,2019-01-20
123722,123740.0,26,591.0,8,26.0,40.0,10,-1.0,1/20/2019,-,0.0,0 km,40.0,2019,1,20,1500.0,1500.0,350.0,350.0,1500.0,1581.809756080458,350.0,270.4198847298075,2019-01-20
122240,122258.0,DNF,585.0,74,23.0,5.0,10,-1.0,1/20/2019,-,0.0,0 km,40.0,2019,1,20,1500.0,1500.0,350.0,350.0,1500.0,845.5219513563366,350.0,270.4198847298075,2019-01-20
122112,122130.0,56,584.0,7,33.0,190.0,10,-1.0,1/20/2019,-,0.0,0 km,40.0,2019,1,20,1500.0,2480.6941187150856,350.0,226.60561705996648,1500.0,2154.4780486436634,350.0,270.4198847298075,2019-01-20
120594,120612.0,80,581.0,8,20.0,50.0,10,-1.0,1/20/2019,-,0.0,0 km,40.0,2019,1,20,1500.0,1864.257815522746,350.0,226.60561705996648,1500.0,1581.809756080458,350.0,270.4198847298075,2019-01-20
119139,119157.0,106,575.0,109,28.0,5.0,10,-1.0,1/20/2019,-,0.0,0 km,40.0,2019,1,20,1500.0,1500.0,350.0,350.0,1500.0,763.7121952758787,350.0,270.4198847298075,2019-01-20
