,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
133,134,134.0,+2:11,147,TORRES Albert,30,Movistar Team,,,",,2:11",51.526,Giro_d_Italia,1,03 October 2020,58.83 km/h,3,15.1 km,11
134,135,135.0,+2:11,215,SPREAFICO Matteo,27,Vini Zabù - KTM,,,",,2:11",51.526,Giro_d_Italia,1,03 October 2020,58.83 km/h,3,15.1 km,11
135,136,136.0,+2:12,111,BARBIER Rudy,27,Israel Start-Up Nation,,,2:122:12,51.477,Giro_d_Italia,1,03 October 2020,58.83 km/h,3,15.1 km,11
136,137,137.0,+2:12,121,ARMÉE Sander,34,Lotto Soudal,,,",,2:12",51.477,Giro_d_Italia,1,03 October 2020,58.83 km/h,3,15.1 km,11
137,138,138.0,+2:12,126,HOLMES Matthew,26,Lotto Soudal,,,",,2:12",51.477,Giro_d_Italia,1,03 October 2020,58.83 km/h,3,15.1 km,11
138,139,139.0,+2:12,123,DIBBEN Jonathan,26,Lotto Soudal,,,",,2:12",51.477,Giro_d_Italia,1,03 October 2020,58.83 km/h,3,15.1 km,11
139,140,140.0,+2:12,63,DE LA PARTE Víctor,34,CCC Team,,,",,2:12",51.477,Giro_d_Italia,1,03 October 2020,58.83 km/h,3,15.1 km,11
140,141,141.0,+2:13,3,BOUCHARD Geoffrey,28,AG2R La Mondiale,,,2:132:13,51.428999999999995,Giro_d_Italia,1,03 October 2020,58.83 km/h,3,15.1 km,11
141,142,142.0,+2:14,35,NOVAK Domen,25,Bahrain - McLaren,,,2:142:14,51.38,Giro_d_Italia,1,03 October 2020,58.83 km/h,3,15.1 km,11
142,143,143.0,+2:14,75,HANSEN Jesper,29,"Cofidis, Solutions Crédits",,,",,2:14",51.38,Giro_d_Italia,1,03 October 2020,58.83 km/h,3,15.1 km,11
143,144,144.0,+2:14,48,ZANA Filippo,21,Bardiani-CSF-Faizanè,,,",,2:14",51.38,Giro_d_Italia,1,03 October 2020,58.83 km/h,3,15.1 km,11
