,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
34,35,28.0,+8:58,153,GONÇALVES José,29,Team Katusha Alpecin,,,0:400:40,50.672,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
35,36,128.0,+1:01:25,145,PHINNEY Taylor,27,Team EF Education First-Drapac p/b Cannondale,,,0:410:41,50.601000000000006,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
36,37,2.0,+0:24,44,CARUSO Damiano,30,BMC Racing Team,,,",,0:41",50.601000000000006,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
37,38,104.0,+48:54,164,VAN POPPEL Danny,24,Team LottoNL-Jumbo,,,0:420:42,50.531000000000006,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
38,39,19.0,+4:23,206,POLANC Jan,25,UAE-Team Emirates,,,",,0:42",50.531000000000006,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
39,40,20.0,+4:41,41,VAN AVERMAET Greg,32,BMC Racing Team,,,0:440:44,50.39,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
40,41,109.0,+52:39,152,DOWSETT Alex,29,Team Katusha Alpecin,,,",,0:44",50.39,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
41,42,33.0,+12:31,191,FELLINE Fabio,27,Trek - Segafredo,,,",,0:44",50.39,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
42,43,30.0,+9:18,55,MORABITO Steve,35,Groupama - FDJ,,,0:460:46,50.25,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
43,44,114.0,+54:26,107,SÜTTERLIN Jasha,25,Movistar Team,,,",,0:46",50.25,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
44,45,90.0,+42:01,14,GENIEZ Alexandre,29,AG2R La Mondiale,,,0:470:47,50.18,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
45,46,4.0,+1:06,81,BENOOT Tiesj,24,Lotto Soudal,,,",,0:47",50.18,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
46,47,1011.0,+1:15,106,ROSÓN Jaime,25,Movistar Team,,,0:480:48,50.111000000000004,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
47,48,108.0,+52:28,146,VAN ASBROECK Tom,27,Team EF Education First-Drapac p/b Cannondale,,,0:490:49,50.041000000000004,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
48,49,23.0,+6:34,37,SIUTSOU Kanstantsin,35,Bahrain Merida Pro Cycling Team,,,0:500:50,49.972,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
49,50,22.0,+6:26,207,ULISSI Diego,28,UAE-Team Emirates,,,0:510:51,49.903,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
50,51,35.0,+13:33,24,KANGERT Tanel,31,Astana Pro Team,,,0:520:52,49.835,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
51,52,103.0,+48:49,12,DUVAL Julien,27,AG2R La Mondiale,,,",,0:52",49.835,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
52,53,32.0,+11:06,142,CLARKE Simon,31,Team EF Education First-Drapac p/b Cannondale,,,0:530:53,49.766000000000005,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
53,54,36.0,+15:21,13,FRANK Mathias,31,AG2R La Mondiale,,,",,0:53",49.766000000000005,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
