,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
43,44,44,-,28,RODRÍGUEZ Jackson,26,Androni Giocattoli - Serramenti PVC Diquigiovanni,,",,0:48",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
44,45,45,-,26,FERRARI Roberto,28,Androni Giocattoli - Serramenti PVC Diquigiovanni,,",,0:48",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
45,46,46,-,23,RUJANO José Humberto,29,Androni Giocattoli - Serramenti PVC Diquigiovanni,,",,0:48",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
46,47,47,-,21,SERPA José Rodolfo,32,Androni Giocattoli - Serramenti PVC Diquigiovanni,,",,0:48",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
47,48,48,-,228,SELVAGGI Mirko,26,Vacansoleil - DCM,,",,0:48",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
48,49,49,-,27,OCHOA Carlos José,30,Androni Giocattoli - Serramenti PVC Diquigiovanni,,",,0:48",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
49,50,50,-,38,WYSS Danilo,25,BMC Racing Team,,0:500:50,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
50,51,51,-,34,KOHLER Martin,25,BMC Racing Team,,",,0:50",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
51,52,52,-,227,ONGARATO Alberto,35,Vacansoleil - DCM,,",,0:50",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
52,53,53,-,33,FRANK Mathias,24,BMC Racing Team,,",,0:50",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
53,54,54,-,37,TSCHOPP Johann,28,BMC Racing Team,,",,0:50",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
54,55,55,-,109,ZAUGG Oliver,30,Leopard Trek,,0:510:51,..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
55,56,56,-,162,CATALDO Dario,26,Quickstep Cycling Team,,",,0:51",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
56,57,57,-,168,SEELDRAEYERS Kevin,24,Quickstep Cycling Team,,",,0:51",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
57,58,58,-,106,VIGANÒ Davide,26,Leopard Trek,,",,0:51",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
58,59,59,-,103,ROHREGGER Thomas,28,Leopard Trek,,",,0:51",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
59,60,60,-,165,ENGELS Addy,33,Quickstep Cycling Team,,",,0:51",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
60,61,61,-,101,FEILLU Brice,25,Leopard Trek,,",,0:51",..,Giro_d_Italia,4,10 May 2011,-,0,216 km,15
