,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,24,▲23,179,WEENING Pieter,30,Rabobank Cycling Team,,14:59:33,..,Giro_d_Italia,GC,11 May 2011,38.872 km/h,0,191 km,15
1,2,4,▲2,72,PINOTTI Marco,35,HTC - High Road,,0:020:02,..,Giro_d_Italia,GC,11 May 2011,38.872 km/h,0,191 km,15
2,3,3,-,79,SIUTSOU Kanstantsin,28,HTC - High Road,,",,0:02",..,Giro_d_Italia,GC,11 May 2011,38.872 km/h,0,191 km,15
3,4,6,▲2,205,LE MÉVEL Christophe,30,Team Garmin - Cervélo,,0:050:05,..,Giro_d_Italia,GC,11 May 2011,38.872 km/h,0,191 km,15
4,5,8,▲3,125,LASTRAS Pablo,35,Movistar Team,,0:220:22,..,Giro_d_Italia,GC,11 May 2011,38.872 km/h,0,191 km,15
5,6,14,▲8,111,NIBALI Vincenzo,26,Liquigas - Cannondale,,0:240:24,..,Giro_d_Italia,GC,11 May 2011,38.872 km/h,0,191 km,15
6,7,19,▲12,91,SCARPONI Michele,31,Lampre - ISD,,0:260:26,..,Giro_d_Italia,GC,11 May 2011,38.872 km/h,0,191 km,15
7,8,23,▲15,173,KRUIJSWIJK Steven,23,Rabobank Cycling Team,,0:280:28,..,Giro_d_Italia,GC,11 May 2011,38.872 km/h,0,191 km,15
8,9,25,▲16,181,CONTADOR Alberto,28,Saxo Bank - Sungard,,0:300:30,..,Giro_d_Italia,GC,11 May 2011,38.872 km/h,0,191 km,15
9,10,47,▲37,21,SERPA José Rodolfo,32,Androni Giocattoli - Serramenti PVC Diquigiovanni,,0:330:33,..,Giro_d_Italia,GC,11 May 2011,38.872 km/h,0,191 km,15
10,11,32,▲21,191,LÖFKVIST Thomas,27,Sky Procycling,,0:390:39,..,Giro_d_Italia,GC,11 May 2011,38.872 km/h,0,191 km,15
11,12,38,▲26,121,ARROYO David,31,Movistar Team,,0:400:40,..,Giro_d_Italia,GC,11 May 2011,38.872 km/h,0,191 km,15
12,13,79,▲66,67,DUARTE Fabio,24,Geox-TMC Transformers,,0:430:43,..,Giro_d_Italia,GC,11 May 2011,38.872 km/h,0,191 km,15
13,14,56,▲42,162,CATALDO Dario,26,Quickstep Cycling Team,,0:440:44,..,Giro_d_Italia,GC,11 May 2011,38.872 km/h,0,191 km,15
14,15,31,▲16,221,CARRARA Matteo,32,Vacansoleil - DCM,,0:500:50,..,Giro_d_Italia,GC,11 May 2011,38.872 km/h,0,191 km,15
15,16,35,▲19,198,KENNAUGH Peter,21,Sky Procycling,,",,0:50",..,Giro_d_Italia,GC,11 May 2011,38.872 km/h,0,191 km,15
16,17,41,▲24,122,KIRYIENKA Vasil,29,Movistar Team,,0:510:51,..,Giro_d_Italia,GC,11 May 2011,38.872 km/h,0,191 km,15
17,18,70,▲52,141,KREUZIGER Roman,25,Pro Team Astana,,0:520:52,..,Giro_d_Italia,GC,11 May 2011,38.872 km/h,0,191 km,15
