,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
35,36,26,▼10,63,BOUET Maxime,27,AG2R La Mondiale,,5,35:1135:11,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
36,37,40,▲3,68,PERAUD Jean-Christophe,37,AG2R La Mondiale,,5,35:1835:18,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
37,38,27,▼11,151,ELISSONDE Kenny,22,FDJ.fr,,5,36:1536:15,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
38,39,29,▼10,95,LARSSON Gustav Erik,33,IAM Cycling,,5,37:3037:30,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
39,40,34,▼6,23,HERNÁNDEZ BLÁZQUEZ Jesús,32,Tinkoff - Saxo,,5,39:2139:21,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
40,41,35,▼6,74,GAUTIER Cyril,26,Team Europcar,,5,42:2442:24,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
41,42,36,▼6,34,EDET Nicolas,26,"Cofidis, Solutions Crédits",,5,42:5742:57,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
42,43,39,▼4,124,MOINARD Amaël,32,BMC Racing Team,,5,45:1745:17,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
43,44,52,▲8,65,GASTAUER Ben,26,AG2R La Mondiale,,5,45:2845:28,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
44,45,41,▼4,127,VAN AVERMAET Greg,29,BMC Racing Team,,5,45:5845:58,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
45,46,50,▲4,7,THOMAS Geraint,28,Team Sky,,5,47:2047:20,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
46,47,43,▼4,128,VELITS Peter,29,BMC Racing Team,,5,47:5847:58,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
47,48,44,▼4,126,STETINA Peter,26,BMC Racing Team,,5,49:2849:28,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
48,49,45,▼4,78,SICARD Romain,26,Team Europcar,,5,49:2949:29,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
49,50,46,▼4,148,VERONA Carlos,21,Omega Pharma - Quick-Step,,5,49:5649:56,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
50,51,78,▲27,101,KOREN Kristijan,27,Cannondale,,5,52:1552:15,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
51,52,49,▼3,196,NORDHAUG Lars Petter,30,Belkin-Pro Cycling Team,,5,55:3255:32,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
52,53,51,▼2,102,BENNETT George,24,Cannondale,,5,56:0056:00,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
53,54,53,▼1,58,VISCONTI Giovanni,31,Movistar Team,,5,57:1757:17,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
54,55,54,▼1,144,DE WEERT Kevin,32,Omega Pharma - Quick-Step,,5,58:1858:18,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
55,56,56,-,163,HOWES Alex,26,Garmin Sharp,,5,1:00:201:00:20,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
56,57,55,▼2,142,ALAPHILIPPE Julian,22,Omega Pharma - Quick-Step,,5,1:01:021:01:02,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
57,58,89,▲31,186,FAVILLI Elia,25,Lampre - Merida,,5,1:01:151:01:15,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
58,59,57,▼2,35,LE MÉVEL Christophe,33,"Cofidis, Solutions Crédits",,5,1:01:471:01:47,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
59,60,58,▼2,52,ERVITI Imanol,30,Movistar Team,,5,1:04:121:04:12,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
60,61,59,▼2,158,VICHOT Arthur,25,FDJ.fr,,5,1:04:281:04:28,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
61,62,60,▼2,171,DAMUSEAU Thomas,25,Team Giant - Shimano,,5,1:06:021:06:02,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
62,63,62,▼1,133,RYBAKOV Alexander,26,Team Katusha,,5,1:08:501:08:50,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
63,64,63,▼1,46,MEIER Christian,29,Orica GreenEDGE,,5,1:08:561:08:56,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
64,65,66,▲1,117,VOIGT Jens,42,Trek Factory Racing,,5,1:10:031:10:03,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
65,66,67,▲1,13,GRIVKO Andrey,30,Astana Pro Team,,5,1:10:331:10:33,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
66,67,61,▼6,184,CONTI Valerio,21,Lampre - Merida,,5,1:10:381:10:38,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
67,68,68,-,197,TANKINK Bram,35,Belkin-Pro Cycling Team,,5,1:11:371:11:37,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
68,69,70,▲1,67,KADRI Blel,27,AG2R La Mondiale,,5,1:12:241:12:24,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
69,70,71,▲1,145,GOŁAŚ Michał,30,Omega Pharma - Quick-Step,,5,1:12:261:12:26,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
70,71,72,▲1,37,SIMON Julien,28,"Cofidis, Solutions Crédits",,5,1:12:401:12:40,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
71,72,73,▲1,181,CUNEGO Damiano,32,Lampre - Merida,,5,1:13:351:13:35,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
72,73,74,▲1,86,LIGTHART Pim,25,Lotto Belisol,,5,1:13:411:13:41,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
73,74,75,▲1,18,ZEITS Andrey,27,Astana Pro Team,,5,1:14:381:14:38,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
74,75,77,▲2,45,KEUKELEIRE Jens,25,Orica GreenEDGE,,5,1:17:261:17:26,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
75,76,82,▲6,105,DE MARCHI Alessandro,28,Cannondale,,5,1:17:291:17:29,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
76,77,79,▲2,113,IRIZAR Markel,34,Trek Factory Racing,,5,1:17:441:17:44,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
77,78,80,▲2,54,GUTIÉRREZ José Iván,35,Movistar Team,,5,1:18:091:18:09,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
78,79,81,▲2,156,FÉDRIGO Pierrick,35,FDJ.fr,,5,1:18:211:18:21,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
79,80,83,▲3,175,HAGA Chad,25,Team Giant - Shimano,,5,1:19:271:19:27,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
80,81,84,▲3,132,KOZONTCHUK Dmitry,30,Team Katusha,,5,1:20:001:20:00,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
81,82,85,▲3,147,ŠTYBAR Zdeněk,28,Omega Pharma - Quick-Step,,5,1:20:281:20:28,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
82,83,86,▲3,202,BÁRTA Jan,29,Team NetApp – Endura,,5,1:22:181:22:18,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
83,84,90,▲6,195,KEIZER Martijn,26,Belkin-Pro Cycling Team,,5,1:22:451:22:45,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
84,85,88,▲3,135,ŠPILAK Simon,27,Team Katusha,,5,1:24:131:24:13,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
85,86,91,▲5,111,JUNGELS Bob,21,Trek Factory Racing,,5,1:26:091:26:09,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
86,87,92,▲5,62,BONNAFOND Guillaume,26,AG2R La Mondiale,,5,1:26:141:26:14,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
87,88,93,▲5,14,GRUZDEV Dmitriy,28,Astana Pro Team,,5,1:28:111:28:11,..,Crit_rium_du_Dauphin_,GC,15 June 2014,37.782 km/h,0,0 km,11
