,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,33,▲32,207,MILLAR David,34,Team Garmin - Cervélo,,10:04:29,..,Giro_d_Italia,GC,09 May 2011,43.681 km/h,0,173 km,15
1,2,74,▲72,29,VICIOSO Ángel,34,Androni Giocattoli - Serramenti PVC Diquigiovanni,,0:070:07,..,Giro_d_Italia,GC,09 May 2011,43.681 km/h,0,173 km,15
2,3,2,▼1,79,SIUTSOU Kanstantsin,28,HTC - High Road,,0:090:09,..,Giro_d_Italia,GC,09 May 2011,43.681 km/h,0,173 km,15
3,4,4,-,72,PINOTTI Marco,35,HTC - High Road,,",,0:09",..,Giro_d_Italia,GC,09 May 2011,43.681 km/h,0,173 km,15
4,5,3,▼2,74,LEWIS Craig,26,HTC - High Road,,",,0:09",..,Giro_d_Italia,GC,09 May 2011,43.681 km/h,0,173 km,15
5,6,27,▲21,205,LE MÉVEL Christophe,30,Team Garmin - Cervélo,,0:120:12,..,Giro_d_Italia,GC,09 May 2011,43.681 km/h,0,173 km,15
6,7,6,▼1,92,PETACCHI Alessandro,37,Lampre - ISD,,0:130:13,..,Giro_d_Italia,GC,09 May 2011,43.681 km/h,0,173 km,15
7,8,62,▲54,125,LASTRAS Pablo,35,Movistar Team,,0:180:18,..,Giro_d_Italia,GC,09 May 2011,43.681 km/h,0,173 km,15
8,9,9,-,212,POPOVYCH Yaroslav,31,RadioShack,,0:190:19,..,Giro_d_Italia,GC,09 May 2011,43.681 km/h,0,173 km,15
9,10,10,-,211,MACHADO Tiago,25,RadioShack,,",,0:19",..,Giro_d_Italia,GC,09 May 2011,43.681 km/h,0,173 km,15
10,11,13,▲2,216,DEIGNAN Philip,27,RadioShack,,",,0:19",..,Giro_d_Italia,GC,09 May 2011,43.681 km/h,0,173 km,15
11,12,39,▲27,176,TANKINK Bram,32,Rabobank Cycling Team,,0:260:26,..,Giro_d_Italia,GC,09 May 2011,43.681 km/h,0,173 km,15
12,13,14,▲1,131,BAKELANTS Jan,25,Omega Pharma-Lotto,,0:290:29,..,Giro_d_Italia,GC,09 May 2011,43.681 km/h,0,173 km,15
13,14,16,▲2,111,NIBALI Vincenzo,26,Liquigas - Cannondale,,0:310:31,..,Giro_d_Italia,GC,09 May 2011,43.681 km/h,0,173 km,15
14,15,15,-,116,SABATINI Fabio,26,Liquigas - Cannondale,,",,0:31",..,Giro_d_Italia,GC,09 May 2011,43.681 km/h,0,173 km,15
15,16,17,▲1,112,AGNOLI Valerio,26,Liquigas - Cannondale,,",,0:31",..,Giro_d_Italia,GC,09 May 2011,43.681 km/h,0,173 km,15
16,17,22,▲5,113,CAPECCHI Eros,24,Liquigas - Cannondale,,",,0:31",..,Giro_d_Italia,GC,09 May 2011,43.681 km/h,0,173 km,15
17,18,23,▲5,138,VEIKKANEN Jussi,30,Omega Pharma-Lotto,,",,0:31",..,Giro_d_Italia,GC,09 May 2011,43.681 km/h,0,173 km,15
