,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,0,SAGAN Peter,21,Liquigas - Cannondale,100.0,225,26:40:01,..,Tour_de_Pologne,GC,06 August 2011,-,0,0 km,37
1,2,0,MARTIN Dan,24,Team Garmin - Cervélo,80.0,150,0:060:06,..,Tour_de_Pologne,GC,06 August 2011,-,0,0 km,37
2,3,0,MARCATO Marco,27,Vacansoleil - DCM,70.0,110,0:070:07,..,Tour_de_Pologne,GC,06 August 2011,-,0,0 km,37
3,4,0,POELS Wout,23,Vacansoleil - DCM,60.0,90,0:230:23,..,Tour_de_Pologne,GC,06 August 2011,-,0,0 km,37
4,5,0,KENNAUGH Peter,22,Sky Procycling,50.0,80,0:250:25,..,Tour_de_Pologne,GC,06 August 2011,-,0,0 km,37
5,6,0,NOCENTINI Rinaldo,33,AG2R La Mondiale,40.0,70,0:280:28,..,Tour_de_Pologne,GC,06 August 2011,-,0,0 km,37
6,7,0,HUZARSKI Bartosz,30,Team Netapp,30.0,60,",,0:28",..,Tour_de_Pologne,GC,06 August 2011,-,0,0 km,37
7,8,0,RIBLON Christophe,30,AG2R La Mondiale,20.0,50,",,0:28",..,Tour_de_Pologne,GC,06 August 2011,-,0,0 km,37
8,9,0,CUMMINGS Steve,30,Sky Procycling,10.0,46,",,0:28",..,Tour_de_Pologne,GC,06 August 2011,-,0,0 km,37
9,10,0,RUTKIEWICZ Marek,30,CCC - Polsat - Polkowice,4.0,42,0:320:32,..,Tour_de_Pologne,GC,06 August 2011,-,0,0 km,37
10,11,0,NIEMIEC Przemysław,31,Lampre - ISD,,38,0:330:33,..,Tour_de_Pologne,GC,06 August 2011,-,0,0 km,37
11,12,0,KESSIAKOFF Fredrik,31,Pro Team Astana,,34,0:350:35,..,Tour_de_Pologne,GC,06 August 2011,-,0,0 km,37
12,13,0,CARUSO Giampaolo,30,Team Katusha,,30,",,0:35",..,Tour_de_Pologne,GC,06 August 2011,-,0,0 km,37
13,14,0,LAGUTIN Sergey,30,Vacansoleil - DCM,,26,0:400:40,..,Tour_de_Pologne,GC,06 August 2011,-,0,0 km,37
14,15,0,ZAUGG Oliver,30,Leopard Trek,,22,0:420:42,..,Tour_de_Pologne,GC,06 August 2011,-,0,0 km,37
15,16,0,NORDHAUG Lars Petter,27,Sky Procycling,,20,",,0:42",..,Tour_de_Pologne,GC,06 August 2011,-,0,0 km,37
