,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
39,40,0,SIMON Julien,25,Saur - Sojasun,,5.0,29:3329:33,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
40,41,0,BELLOTTI Francesco,31,Liquigas - Cannondale,,5.0,30:0430:04,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
41,42,0,MOUREY Francis,30,FDJ,,5.0,30:2630:26,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
42,43,0,COSTA Rui,24,Movistar Team,,5.0,30:4230:42,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
43,44,0,SÁNCHEZ Luis León,27,Rabobank Cycling Team,,5.0,32:1432:14,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
44,45,0,TAARAMÄE Rein,24,"Cofidis, le Crédit en Ligne",,5.0,32:5632:56,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
45,46,0,SØRENSEN Nicki,36,Saxo Bank - Sungard,,5.0,33:1033:10,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
46,47,0,MARTÍNEZ Egoi,33,Euskaltel - Euskadi,,5.0,33:4933:49,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
47,48,0,KARPETS Vladimir,30,Team Katusha,,5.0,34:2634:26,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
48,49,0,PAULINHO Sérgio Miguel,31,RadioShack,,5.0,34:2734:27,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
49,50,0,ZUBELDIA Haimar,34,RadioShack,,5.0,35:3735:37,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
50,51,0,RIBLON Christophe,30,AG2R La Mondiale,,5.0,35:3935:39,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
51,52,0,MARZANO Marco,31,Lampre - ISD,,5.0,35:4335:43,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
52,53,0,ERVITI Imanol,27,Movistar Team,,5.0,36:0136:01,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
53,54,0,CASAR Sandy,32,FDJ,,5.0,36:0336:03,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
54,55,0,BOASSON HAGEN Edvald,24,Sky Procycling,,5.0,36:1036:10,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
55,56,0,KESSIAKOFF Fredrik,31,Pro Team Astana,,5.0,36:3236:32,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
56,57,0,LÓPEZ David,30,Movistar Team,,5.0,36:5736:57,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
57,58,0,BARREDO Carlos,30,Rabobank Cycling Team,,,",,36:57",..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
58,59,0,GAUTIER Cyril,23,Team Europcar,,5.0,38:5938:59,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
59,60,0,PAURIOL Rémi,29,FDJ,,5.0,39:1439:14,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
60,61,0,KOREN Kristijan,24,Liquigas - Cannondale,,,39:2539:25,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
61,62,0,KOLOBNEV Alexandr,30,Team Katusha,,5.0,39:3039:30,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
62,63,0,WURF Cameron,27,Liquigas - Cannondale,,5.0,39:5639:56,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
63,64,0,VALENTIN Tristan,29,"Cofidis, le Crédit en Ligne",,5.0,40:0840:08,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
64,65,0,VERDUGO Gorka,32,Euskaltel - Euskadi,,5.0,40:1940:19,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
65,66,0,POSTHUMA Joost,30,Leopard Trek,,5.0,42:0242:02,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
66,67,0,HIVERT Jonathan,26,Saur - Sojasun,,5.0,42:1542:15,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
67,68,0,LEQUATRE Geoffroy,29,RadioShack,,5.0,42:4742:47,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
68,69,0,JEANNESSON Arnold,25,FDJ,,5.0,43:0443:04,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
69,70,0,TALABARDON Yannick,29,Saur - Sojasun,,5.0,43:5743:57,..,Crit_rium_du_Dauphin_,GC,12 June 2011,-,0,0 km,12
