,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
39,40,38,▼2,134,CHAVES Esteban,29,Mitchelton-Scott,20.0,20,1:33:121:33:12,..,Giro_d_Italia,GC,02 June 2019,-,0,0 km,15
40,41,41,-,172,BOUWMAN Koen,25,Team Jumbo-Visma,16.0,20,1:36:401:36:40,..,Giro_d_Italia,GC,02 June 2019,-,0,0 km,15
41,42,42,-,218,ULISSI Diego,29,UAE-Team Emirates,16.0,20,1:38:341:38:34,..,Giro_d_Italia,GC,02 June 2019,-,0,0 km,15
42,43,43,-,192,BAKELANTS Jan,33,Team Sunweb,16.0,20,1:49:341:49:34,..,Giro_d_Italia,GC,02 June 2019,-,0,0 km,15
43,44,44,-,168,SOSA Iván Ramiro,21,Team INEOS,16.0,20,1:54:161:54:16,..,Giro_d_Italia,GC,02 June 2019,-,0,0 km,15
44,45,46,▲1,154,GHEBREIGZABHIER Amanuel,24,Team Dimension Data,16.0,20,1:54:331:54:33,..,Giro_d_Italia,GC,02 June 2019,-,0,0 km,15
45,46,45,▼1,6,PEDRERO Antonio,27,Movistar Team,16.0,20,1:56:031:56:03,..,Giro_d_Italia,GC,02 June 2019,-,0,0 km,15
46,47,47,-,14,DUPONT Hubert,38,AG2R La Mondiale,16.0,20,1:56:441:56:44,..,Giro_d_Italia,GC,02 June 2019,-,0,0 km,15
47,48,48,-,34,CATALDO Dario,34,Astana Pro Team,16.0,20,1:57:411:57:41,..,Giro_d_Italia,GC,02 June 2019,-,0,0 km,15
48,49,49,-,202,BRAMBILLA Gianluca,31,Trek - Segafredo,16.0,20,1:59:021:59:02,..,Giro_d_Italia,GC,02 June 2019,-,0,0 km,15
49,50,50,-,7,ROJAS José Joaquín,33,Movistar Team,16.0,20,2:03:312:03:31,..,Giro_d_Italia,GC,02 June 2019,-,0,0 km,15
50,51,53,▲2,124,DE GENDT Thomas,32,Lotto Soudal,12.0,20,2:06:262:06:26,..,Giro_d_Italia,GC,02 June 2019,-,0,0 km,15
51,52,51,▼1,17,WARBASSE Larry,28,AG2R La Mondiale,12.0,20,2:07:022:07:02,..,Giro_d_Italia,GC,02 June 2019,-,0,0 km,15
