,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,-,179,WEENING Pieter,30,Rabobank Cycling Team,,28:09:49,..,Giro_d_Italia,GC,14 May 2011,43.436 km/h,0,217 km,15
1,2,2,-,79,SIUTSOU Kanstantsin,28,HTC - High Road,,0:020:02,..,Giro_d_Italia,GC,14 May 2011,43.436 km/h,0,217 km,15
2,3,3,-,72,PINOTTI Marco,35,HTC - High Road,,",,0:02",..,Giro_d_Italia,GC,14 May 2011,43.436 km/h,0,217 km,15
3,4,4,-,205,LE MÉVEL Christophe,30,Team Garmin - Cervélo,,0:050:05,..,Giro_d_Italia,GC,14 May 2011,43.436 km/h,0,217 km,15
4,5,9,▲4,181,CONTADOR Alberto,28,Saxo Bank - Sungard,,0:130:13,..,Giro_d_Italia,GC,14 May 2011,43.436 km/h,0,217 km,15
5,6,5,▼1,91,SCARPONI Michele,31,Lampre - ISD,,0:140:14,..,Giro_d_Italia,GC,14 May 2011,43.436 km/h,0,217 km,15
6,7,6,▼1,125,LASTRAS Pablo,35,Movistar Team,,0:220:22,..,Giro_d_Italia,GC,14 May 2011,43.436 km/h,0,217 km,15
7,8,7,▼1,111,NIBALI Vincenzo,26,Liquigas - Cannondale,,0:240:24,..,Giro_d_Italia,GC,14 May 2011,43.436 km/h,0,217 km,15
8,9,8,▼1,173,KRUIJSWIJK Steven,23,Rabobank Cycling Team,,0:280:28,..,Giro_d_Italia,GC,14 May 2011,43.436 km/h,0,217 km,15
9,10,10,-,21,SERPA José Rodolfo,32,Androni Giocattoli - Serramenti PVC Diquigiovanni,,0:330:33,..,Giro_d_Italia,GC,14 May 2011,43.436 km/h,0,217 km,15
10,11,11,-,191,LÖFKVIST Thomas,27,Sky Procycling,,0:390:39,..,Giro_d_Italia,GC,14 May 2011,43.436 km/h,0,217 km,15
11,12,12,-,121,ARROYO David,31,Movistar Team,,0:400:40,..,Giro_d_Italia,GC,14 May 2011,43.436 km/h,0,217 km,15
12,13,13,-,162,CATALDO Dario,26,Quickstep Cycling Team,,0:440:44,..,Giro_d_Italia,GC,14 May 2011,43.436 km/h,0,217 km,15
13,14,14,-,141,KREUZIGER Roman,25,Pro Team Astana,,",,0:44",..,Giro_d_Italia,GC,14 May 2011,43.436 km/h,0,217 km,15
14,15,15,-,144,KIŠERLOVSKI Robert,24,Pro Team Astana,,0:520:52,..,Giro_d_Italia,GC,14 May 2011,43.436 km/h,0,217 km,15
15,16,16,-,61,MENCHOV Denis,33,Geox-TMC Transformers,,0:550:55,..,Giro_d_Italia,GC,14 May 2011,43.436 km/h,0,217 km,15
16,17,19,▲2,22,SELLA Emanuele,30,Androni Giocattoli - Serramenti PVC Diquigiovanni,,1:011:01,..,Giro_d_Italia,GC,14 May 2011,43.436 km/h,0,217 km,15
17,18,20,▲2,81,RODRÍGUEZ Joaquim,32,Team Katusha,,1:061:06,..,Giro_d_Italia,GC,14 May 2011,43.436 km/h,0,217 km,15
18,19,21,▲2,221,CARRARA Matteo,32,Vacansoleil - DCM,,1:071:07,..,Giro_d_Italia,GC,14 May 2011,43.436 km/h,0,217 km,15
19,20,24,▲4,51,ANTÓN Igor,28,Euskaltel - Euskadi,,1:151:15,..,Giro_d_Italia,GC,14 May 2011,43.436 km/h,0,217 km,15
20,21,25,▲4,122,KIRYIENKA Vasil,29,Movistar Team,,1:161:16,..,Giro_d_Italia,GC,14 May 2011,43.436 km/h,0,217 km,15
