,Rnk,BIB,Rider,Age,Team,UCI,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
103,104,104,STAMSNIJDER Tom,25,Leopard Trek,,",,0:00",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
104,105,101,FEILLU Brice,25,Leopard Trek,,",,0:00",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
105,106,165,ENGELS Addy,33,Quickstep Cycling Team,,",,0:00",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
106,107,164,REDA Francesco,28,Quickstep Cycling Team,,",,0:00",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
107,108,167,PINEAU Jérôme,31,Quickstep Cycling Team,,",,0:00",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
108,109,169,VANDEWALLE Kristof,26,Quickstep Cycling Team,,",,0:00",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
109,110,162,CATALDO Dario,26,Quickstep Cycling Team,,",,0:00",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
110,111,166,MALACARNE Davide,23,Quickstep Cycling Team,,",,0:00",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
111,112,168,SEELDRAEYERS Kevin,24,Quickstep Cycling Team,,",,0:00",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
112,113,161,CHICCHI Francesco,30,Quickstep Cycling Team,,",,0:00",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
113,114,163,CIOLEK Gerald,24,Quickstep Cycling Team,,",,0:00",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
114,115,124,OYARZÚN Carlos Iván,29,Movistar Team,,",,0:00",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
115,116,102,KLEMME Dominic,24,Leopard Trek,,0:460:46,..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
116,117,14,DESSEL Cyril,36,AG2R La Mondiale,,0:490:49,..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
117,118,18,KRIVTSOV Yuriy,32,AG2R La Mondiale,,",,0:49",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
118,119,15,DUPONT Hubert,30,AG2R La Mondiale,,",,0:49",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
119,120,11,NOCENTINI Rinaldo,33,AG2R La Mondiale,,",,0:49",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
120,121,19,MONTAGUTI Matteo,27,AG2R La Mondiale,,",,0:49",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
121,122,16,GADRET John,32,AG2R La Mondiale,,",,0:49",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
122,123,17,GASTAUER Ben,23,AG2R La Mondiale,,",,0:49",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
123,124,12,BÉRARD Julien,23,AG2R La Mondiale,,",,0:49",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
124,125,141,KREUZIGER Roman,25,Pro Team Astana,,0:500:50,..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
125,126,143,MASCIARELLI Francesco,25,Pro Team Astana,,",,0:50",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
126,127,146,JUFRÉ Josep,35,Pro Team Astana,,",,0:50",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
127,128,147,DYACHENKO Alexandr,27,Pro Team Astana,,",,0:50",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
128,129,142,TIRALONGO Paolo,33,Pro Team Astana,,",,0:50",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
129,130,144,KIŠERLOVSKI Robert,24,Pro Team Astana,,",,0:50",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
130,131,148,PETROV Evgeni,32,Pro Team Astana,,",,0:50",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
131,132,76,RABOŇ František,27,HTC - High Road,,0:000:00,..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
132,133,73,GRETSCH Patrick,24,HTC - High Road,,",,0:00",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
133,134,61,MENCHOV Denis,33,Geox-TMC Transformers,,0:530:53,..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
134,135,69,VALLS Rafael,23,Geox-TMC Transformers,,",,0:53",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
135,136,64,BLANCO David,36,Geox-TMC Transformers,,",,0:53",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
136,137,62,SASTRE Carlos,36,Geox-TMC Transformers,,",,0:53",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
137,138,63,WYSS Marcel,24,Geox-TMC Transformers,,",,0:53",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
138,139,67,DUARTE Fabio,24,Geox-TMC Transformers,,",,0:53",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
139,140,68,ARDILA Mauricio Alberto,31,Geox-TMC Transformers,,",,0:53",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
140,141,45,SAVINI Filippo,26,Colnago - CSF Inox,,1:021:02,..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
141,142,41,POZZOVIVO Domenico,28,Colnago - CSF Inox,,",,1:02",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
142,143,48,BRAMBILLA Gianluca,23,Colnago - CSF Inox,,",,1:02",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
143,144,46,CANUTI Federico,25,Colnago - CSF Inox,,",,1:02",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
144,145,44,PIRAZZI Stefano,24,Colnago - CSF Inox,,",,1:02",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
145,146,43,MODOLO Sacha,23,Colnago - CSF Inox,,",,1:02",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
146,147,49,FRAPPORTI Marco,26,Colnago - CSF Inox,,",,1:02",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
147,148,42,BELLETTI Manuel,25,Colnago - CSF Inox,,",,1:02",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
148,149,97,SPEZIALETTI Alessandro,36,Lampre - ISD,,",,1:02",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
149,150,98,RIGHI Daniele,35,Lampre - ISD,,",,1:02",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
150,151,93,MARZANO Marco,30,Lampre - ISD,,",,1:02",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
151,152,81,RODRÍGUEZ Joaquim,31,Team Katusha,,1:041:04,..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
152,153,85,MORENO Daniel,29,Team Katusha,,",,1:04",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
153,154,86,VORGANOV Eduard,28,Team Katusha,,",,1:04",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
154,155,83,BRUTT Pavel,29,Team Katusha,,",,1:04",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
155,156,82,DI LUCA Danilo,35,Team Katusha,,",,1:04",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
156,157,84,CARUSO Giampaolo,30,Team Katusha,,",,1:04",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
157,158,4,BETANCUR Carlos,21,Acqua & Sapone,,1:071:07,..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
158,159,1,GARZELLI Stefano,37,Acqua & Sapone,,",,1:07",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
159,160,5,MARZOLI Ruggero,35,Acqua & Sapone,,",,1:07",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
160,161,9,TABORRE Fabio,25,Acqua & Sapone,,",,1:07",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
161,162,2,CODOL Massimo,38,Acqua & Sapone,,",,1:07",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
162,163,7,NAPOLITANO Danilo,30,Acqua & Sapone,,",,1:07",..,Giro_d_Italia,GC,07 May 2011,-,0,19.3 km,15
