,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
85,86,113,▲27,161,CHICCHI Francesco,30,Quickstep Cycling Team,,0:540:54,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
86,87,101,▲14,109,ZAUGG Oliver,29,Leopard Trek,,",,0:54",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
87,88,110,▲22,162,CATALDO Dario,26,Quickstep Cycling Team,,",,0:54",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
88,89,105,▲16,101,FEILLU Brice,25,Leopard Trek,,",,0:54",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
89,90,102,▲12,107,WEGMANN Fabian,30,Leopard Trek,,",,0:54",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
90,91,104,▲13,104,STAMSNIJDER Tom,25,Leopard Trek,,",,0:54",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
91,92,112,▲20,168,SEELDRAEYERS Kevin,24,Quickstep Cycling Team,,",,0:54",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
92,93,111,▲18,166,MALACARNE Davide,23,Quickstep Cycling Team,,",,0:54",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
93,94,106,▲12,165,ENGELS Addy,33,Quickstep Cycling Team,,",,0:54",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
94,95,100,▲5,103,ROHREGGER Thomas,28,Leopard Trek,,",,0:54",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
95,96,103,▲7,105,PIRES Bruno,29,Leopard Trek,,",,0:54",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
96,97,99,▲2,106,VIGANÒ Davide,26,Leopard Trek,,",,0:54",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
97,98,115,▲17,124,OYARZÚN Carlos Iván,29,Movistar Team,,",,0:54",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
98,99,109,▲10,169,VANDEWALLE Kristof,26,Quickstep Cycling Team,,",,0:54",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
99,100,108,▲8,167,PINEAU Jérôme,31,Quickstep Cycling Team,,",,0:54",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
100,101,116,▲15,102,KLEMME Dominic,24,Leopard Trek,,0:580:58,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
101,102,121,▲19,19,MONTAGUTI Matteo,27,AG2R La Mondiale,,1:011:01,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
102,103,124,▲21,12,BÉRARD Julien,23,AG2R La Mondiale,,",,1:01",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
103,104,118,▲14,18,KRIVTSOV Yuriy,32,AG2R La Mondiale,,",,1:01",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
104,105,123,▲18,17,GASTAUER Ben,23,AG2R La Mondiale,,",,1:01",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
105,106,119,▲13,15,DUPONT Hubert,30,AG2R La Mondiale,,",,1:01",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
106,107,122,▲15,16,GADRET John,32,AG2R La Mondiale,,",,1:01",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
107,108,117,▲9,14,DESSEL Cyril,36,AG2R La Mondiale,,",,1:01",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
108,109,130,▲21,144,KIŠERLOVSKI Robert,24,Pro Team Astana,,1:021:02,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
109,110,125,▲15,141,KREUZIGER Roman,25,Pro Team Astana,,",,1:02",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
110,111,131,▲20,148,PETROV Evgeni,32,Pro Team Astana,,",,1:02",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
111,112,129,▲17,142,TIRALONGO Paolo,33,Pro Team Astana,,",,1:02",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
112,113,127,▲14,146,JUFRÉ Josep,35,Pro Team Astana,,",,1:02",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
113,114,126,▲12,143,MASCIARELLI Francesco,25,Pro Team Astana,,",,1:02",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
114,115,128,▲13,147,DYACHENKO Alexandr,27,Pro Team Astana,,",,1:02",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
115,116,140,▲24,68,ARDILA Mauricio Alberto,31,Geox-TMC Transformers,,1:051:05,..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
116,117,134,▲17,61,MENCHOV Denis,33,Geox-TMC Transformers,,",,1:05",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
117,118,138,▲20,63,WYSS Marcel,24,Geox-TMC Transformers,,",,1:05",..,Giro_d_Italia,GC,08 May 2011,42.353 km/h,0,244 km,15
