,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,-,179,WEENING Pieter,30,Rabobank Cycling Team,,20:15:12,..,Giro_d_Italia,GC,12 May 2011,41.058 km/h,0,216 km,15
1,2,3,▲1,79,SIUTSOU Kanstantsin,28,HTC - High Road,,0:020:02,..,Giro_d_Italia,GC,12 May 2011,41.058 km/h,0,216 km,15
2,3,2,▼1,72,PINOTTI Marco,35,HTC - High Road,,",,0:02",..,Giro_d_Italia,GC,12 May 2011,41.058 km/h,0,216 km,15
3,4,4,-,205,LE MÉVEL Christophe,30,Team Garmin - Cervélo,,0:050:05,..,Giro_d_Italia,GC,12 May 2011,41.058 km/h,0,216 km,15
4,5,5,-,125,LASTRAS Pablo,35,Movistar Team,,0:220:22,..,Giro_d_Italia,GC,12 May 2011,41.058 km/h,0,216 km,15
5,6,6,-,111,NIBALI Vincenzo,26,Liquigas - Cannondale,,0:240:24,..,Giro_d_Italia,GC,12 May 2011,41.058 km/h,0,216 km,15
6,7,7,-,91,SCARPONI Michele,31,Lampre - ISD,,0:260:26,..,Giro_d_Italia,GC,12 May 2011,41.058 km/h,0,216 km,15
7,8,8,-,173,KRUIJSWIJK Steven,23,Rabobank Cycling Team,,0:280:28,..,Giro_d_Italia,GC,12 May 2011,41.058 km/h,0,216 km,15
8,9,9,-,181,CONTADOR Alberto,28,Saxo Bank - Sungard,,0:300:30,..,Giro_d_Italia,GC,12 May 2011,41.058 km/h,0,216 km,15
9,10,10,-,21,SERPA José Rodolfo,32,Androni Giocattoli - Serramenti PVC Diquigiovanni,,0:330:33,..,Giro_d_Italia,GC,12 May 2011,41.058 km/h,0,216 km,15
10,11,11,-,191,LÖFKVIST Thomas,27,Sky Procycling,,0:390:39,..,Giro_d_Italia,GC,12 May 2011,41.058 km/h,0,216 km,15
