,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
34,35,47.0,+21:50,87,ROY Jérémy,31,FDJ,,,",,0:45",49.451,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
35,36,91.0,+39:35,82,LADAGNOUS Matthieu,30,FDJ,,,0:480:48,49.248000000000005,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
36,37,33.0,+10:40,55,MENDES José,29,Bora - Argon 18,,,",,0:48",49.248000000000005,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
37,38,101.0,+43:31,193,FLENS Rick,31,Team LottoNL-Jumbo,,,",,0:48",49.248000000000005,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
38,39,8.0,+0:59,11,POZZOVIVO Domenico,32,AG2R La Mondiale,,,",,0:48",49.248000000000005,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
39,40,133.0,+1:01:13,13,GAUDIN Damien,28,AG2R La Mondiale,,,0:490:49,49.18,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
40,41,26.0,+4:37,128,VISCONTI Giovanni,32,Movistar Team,,,",,0:49",49.18,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
41,42,11.0,+1:16,111,VAN DEN BROECK Jurgen,32,Lotto Soudal,,,",,0:49",49.18,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
42,43,92.0,+40:26,216,POPOVYCH Yaroslav,35,Trek Factory Racing,,,0:500:50,49.113,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
43,44,70.0,+30:17,197,KEIZER Martijn,26,Team LottoNL-Jumbo,,,",,0:50",49.113,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
44,45,23.0,+3:47,25,SCARPONI Michele,35,Astana Pro Team,,,0:510:51,49.04600000000001,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
45,46,61.0,+26:55,136,JANSE VAN RENSBURG Reinardt,26,MTN - Qhubeka,,,",,0:51",49.04600000000001,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
46,47,10.0,+1:11,6,KREUZIGER Roman,28,Tinkoff - Saxo,,,",,0:51",49.04600000000001,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
47,48,53.0,+23:32,78,VERMOTE Julien,25,Etixx - Quick Step,,,",,0:51",49.04600000000001,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
48,49,19.0,+2:24,183,LOSADA Alberto,33,Team Katusha,,,0:520:52,48.98,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
49,50,17.0,+2:02,204,NIEVE Mikel,30,Team Sky,,,",,0:52",48.98,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
50,51,88.0,+36:38,48,QUINZIATO Manuel,35,BMC Racing Team,,,0:530:53,48.913000000000004,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
51,52,27.0,+6:39,152,FORMOLO Davide,22,Team Cannondale - Garmin,,,",,0:53",48.913000000000004,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
52,53,22.0,+3:16,107,SERPA José Rodolfo,35,Lampre - Merida,,,0:540:54,48.847,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
53,54,43.0,+19:50,184,MORENO Daniel,33,Team Katusha,,,",,0:54",48.847,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
54,55,1.0,+0:00,121,QUINTANA Nairo,25,Movistar Team,,,0:550:55,48.78,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
55,56,12.0,+1:23,105,NIEMIEC Przemysław,34,Lampre - Merida,,,",,0:55",48.78,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
56,57,93.0,+40:57,217,ROULSTON Hayden,34,Trek Factory Racing,,,0:560:56,48.714,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
57,58,58.0,+25:49,116,ROELANDTS Jürgen,29,Lotto Soudal,,,",,0:56",48.714,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
58,59,74.0,+32:26,101,POZZATO Filippo,33,Lampre - Merida,,,0:570:57,48.648999999999994,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
59,60,98.0,+42:22,175,HAGA Chad,26,Team Giant - Alpecin,,,",,0:57",48.648999999999994,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
