,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
35,36,20.0,+3:51,155,BOUET Maxime,27,AG2R La Mondiale,,,1:281:28,48.754,Tour_de_Pologne,7,09 August 2014,51.19 km/h,0,25 km,46
36,37,29.0,+7:06,78,WARBASSE Larry,24,BMC Racing Team,,,1:301:30,48.701,Tour_de_Pologne,7,09 August 2014,51.19 km/h,0,25 km,46
37,38,34.0,+8:47,186,CIEŚLIK Paweł,28,Poland,,,1:311:31,48.675,Tour_de_Pologne,7,09 August 2014,51.19 km/h,0,25 km,46
38,39,43.0,+13:20,43,GASPAROTTO Enrico,32,Astana Pro Team,,,1:331:33,48.622,Tour_de_Pologne,7,09 August 2014,51.19 km/h,0,25 km,46
39,40,97.0,+44:22,51,BROWN Nathan,23,Garmin Sharp,,,1:341:34,48.596000000000004,Tour_de_Pologne,7,09 August 2014,51.19 km/h,0,25 km,46
40,41,10.0,+1:49,16,VAKOČ Petr,22,Omega Pharma - Quick-Step,,,1:351:35,48.57,Tour_de_Pologne,7,09 August 2014,51.19 km/h,0,25 km,46
41,42,12.0,+2:03,76,SÁNCHEZ Samuel,36,BMC Racing Team,,,1:381:38,48.49100000000001,Tour_de_Pologne,7,09 August 2014,51.19 km/h,0,25 km,46
42,43,127.0,+1:06:42,114,FLENS Rick,31,Belkin-Pro Cycling Team,,,1:401:40,48.43899999999999,Tour_de_Pologne,7,09 August 2014,51.19 km/h,0,25 km,46
43,44,77.0,+33:47,48,ZEITS Andrey,27,Astana Pro Team,,,",,1:40",48.43899999999999,Tour_de_Pologne,7,09 August 2014,51.19 km/h,0,25 km,46
44,45,17.0,+2:31,55,HESJEDAL Ryder,33,Garmin Sharp,,,1:411:41,48.413000000000004,Tour_de_Pologne,7,09 August 2014,51.19 km/h,0,25 km,46
45,46,61.0,+23:51,31,BOASSON HAGEN Edvald,27,Team Sky,,,",,1:41",48.413000000000004,Tour_de_Pologne,7,09 August 2014,51.19 km/h,0,25 km,46
46,47,8.0,+1:41,115,GESINK Robert,28,Belkin-Pro Cycling Team,,,1:441:44,48.335,Tour_de_Pologne,7,09 August 2014,51.19 km/h,0,25 km,46
47,48,38.0,+10:54,143,DE CLERCQ Bart,27,Lotto Belisol,,,1:451:45,48.309,Tour_de_Pologne,7,09 August 2014,51.19 km/h,0,25 km,46
48,49,102.0,+47:32,206,BALYKIN Ivan,23,RusVelo,,,1:461:46,48.283,Tour_de_Pologne,7,09 August 2014,51.19 km/h,0,25 km,46
49,50,26.0,+6:18,137,PREIDLER Georg,24,Team Giant - Shimano,,,",,1:46",48.283,Tour_de_Pologne,7,09 August 2014,51.19 km/h,0,25 km,46
50,51,44.0,+13:33,26,POLJAŃSKI Paweł,24,Tinkoff - Saxo,,,1:471:47,48.257,Tour_de_Pologne,7,09 August 2014,51.19 km/h,0,25 km,46
51,52,78.0,+34:21,24,SØRENSEN Nicki,39,Tinkoff - Saxo,,,1:491:49,48.206,Tour_de_Pologne,7,09 August 2014,51.19 km/h,0,25 km,46
52,53,28.0,+7:01,174,KERN Christophe,33,Team Europcar,,,1:501:50,48.18,Tour_de_Pologne,7,09 August 2014,51.19 km/h,0,25 km,46
53,54,15.0,+2:14,15,POELS Wout,26,Omega Pharma - Quick-Step,,,1:511:51,48.153999999999996,Tour_de_Pologne,7,09 August 2014,51.19 km/h,0,25 km,46
54,55,11.0,+1:55,198,RUTKIEWICZ Marek,33,CCC Polsat Polkowice,,,",,1:51",48.153999999999996,Tour_de_Pologne,7,09 August 2014,51.19 km/h,0,25 km,46
55,56,131.0,+1:45:48,111,BOBRIDGE Jack,25,Belkin-Pro Cycling Team,,,1:521:52,48.128,Tour_de_Pologne,7,09 August 2014,51.19 km/h,0,25 km,46
56,57,62.0,+24:14,38,SIUTSOU Kanstantsin,32,Team Sky,,,1:531:53,48.103,Tour_de_Pologne,7,09 August 2014,51.19 km/h,0,25 km,46
57,58,16.0,+2:19,93,FORMOLO Davide,21,Cannondale,,,1:541:54,48.077,Tour_de_Pologne,7,09 August 2014,51.19 km/h,0,25 km,46
58,59,48.0,+15:24,107,VORGANOV Eduard,31,Team Katusha,,,1:551:55,48.051,Tour_de_Pologne,7,09 August 2014,51.19 km/h,0,25 km,46
59,60,87.0,+40:50,52,FAIRLY Caleb,27,Garmin Sharp,,,",,1:55",48.051,Tour_de_Pologne,7,09 August 2014,51.19 km/h,0,25 km,46
60,61,101.0,+45:56,165,LECUISINIER Pierre-Henri,21,FDJ.fr,,,1:581:58,47.974,Tour_de_Pologne,7,09 August 2014,51.19 km/h,0,25 km,46
61,62,42.0,+12:50,195,MARCZYŃSKI Tomasz,30,CCC Polsat Polkowice,,,2:002:00,47.923,Tour_de_Pologne,7,09 August 2014,51.19 km/h,0,25 km,46
62,63,35.0,+9:21,201,LAGUTIN Sergey,33,RusVelo,,,2:012:01,47.898,Tour_de_Pologne,7,09 August 2014,51.19 km/h,0,25 km,46
63,64,57.0,+22:14,194,PATERSKI Maciej,27,CCC Polsat Polkowice,,,",,2:01",47.898,Tour_de_Pologne,7,09 August 2014,51.19 km/h,0,25 km,46
64,65,13.0,+2:05,11,BRAMBILLA Gianluca,26,Omega Pharma - Quick-Step,,,2:022:02,47.872,Tour_de_Pologne,7,09 August 2014,51.19 km/h,0,25 km,46
65,66,32.0,+8:07,145,LIGTHART Pim,26,Lotto Belisol,,,2:032:03,47.847,Tour_de_Pologne,7,09 August 2014,51.19 km/h,0,25 km,46
66,67,94.0,+43:17,205,SOLOMENNIKOV Andrei,27,RusVelo,,,",,2:03",47.847,Tour_de_Pologne,7,09 August 2014,51.19 km/h,0,25 km,46
67,68,73.0,+31:21,96,MOSER Moreno,23,Cannondale,,,2:072:07,47.745,Tour_de_Pologne,7,09 August 2014,51.19 km/h,0,25 km,46
68,69,23.0,+4:48,98,VILLELLA Davide,23,Cannondale,,,2:082:08,47.72,Tour_de_Pologne,7,09 August 2014,51.19 km/h,0,25 km,46
69,70,86.0,+40:39,95,KRIZEK Matthias,25,Cannondale,,,",,2:08",47.72,Tour_de_Pologne,7,09 August 2014,51.19 km/h,0,25 km,46
70,71,92.0,+42:58,162,FISCHER Murilo Antonio,35,FDJ.fr,,,2:092:09,47.695,Tour_de_Pologne,7,09 August 2014,51.19 km/h,0,25 km,46
71,72,130.0,+1:27:19,134,HUPOND Thierry,29,Team Giant - Shimano,,,2:102:10,47.669,Tour_de_Pologne,7,09 August 2014,51.19 km/h,0,25 km,46
72,73,119.0,+56:09,101,BELKOV Maxim,29,Team Katusha,,,",,2:10",47.669,Tour_de_Pologne,7,09 August 2014,51.19 km/h,0,25 km,46
73,74,65.0,+27:17,116,MARTENS Paul,30,Belkin-Pro Cycling Team,,,2:122:12,47.619,Tour_de_Pologne,7,09 August 2014,51.19 km/h,0,25 km,46
74,75,14.0,+2:10,132,BARGUIL Warren,22,Team Giant - Shimano,,,2:132:13,47.593999999999994,Tour_de_Pologne,7,09 August 2014,51.19 km/h,0,25 km,46
