,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
39,40,147,POZZOVIVO Domenico,37,NTT Pro Cycling,10.0,5,56:0156:01,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
40,41,44,KÜNG Stefan,26,Groupama - FDJ,10.0,5,58:0858:08,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
41,42,55,JUNGELS Bob,27,Deceuninck - Quick Step,10.0,5,58:3658:36,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
42,43,32,CASTROVIEJO Jonathan,33,Team INEOS,10.0,5,58:4058:40,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
43,44,167,ROSSETTO Stéphane,33,"Cofidis, Solutions Crédits",10.0,5,58:5958:59,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
44,45,37,VAN BAARLE Dylan,28,Team INEOS,10.0,5,59:5559:55,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
45,46,14,KANGERT Tanel,33,EF Pro Cycling,10.0,5,1:01:191:01:19,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
46,47,87,POLANC Jan,28,UAE-Team Emirates,10.0,5,1:01:501:01:50,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
47,48,94,PEDRERO Antonio,28,Movistar Team,10.0,5,1:02:121:02:12,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
48,49,145,MEINTJES Louis,28,NTT Pro Cycling,10.0,5,1:02:331:02:33,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
49,50,186,VANHOUCKE Harm,23,Lotto Soudal,10.0,5,1:04:541:04:54,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
50,51,112,EG Niklas,25,Trek - Segafredo,5.0,5,1:05:181:05:18,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
51,52,157,VALLS Rafael,33,Bahrain - McLaren,5.0,5,1:06:201:06:20,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
52,53,202,BARTA Will,24,CCC Team,5.0,5,1:06:361:06:36,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
53,54,211,BAKELANTS Jan,34,Circus - Wanty Gobert,5.0,5,1:07:471:07:47,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
54,55,155,MOHORIČ Matej,25,Bahrain - McLaren,5.0,5,1:09:361:09:36,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
55,56,63,GESINK Robert,34,Team Jumbo-Visma,3.0,5,1:09:491:09:49,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
56,57,6,SÁNCHEZ Luis León,36,Astana Pro Team,3.0,5,1:12:071:12:07,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
57,58,183,DE GENDT Thomas,33,Lotto Soudal,3.0,5,1:13:071:13:07,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
58,59,123,DONOVAN Mark,21,Team Sunweb,3.0,5,1:13:411:13:41,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
59,60,174,NEILANDS Krists,25,Israel Start-Up Nation,3.0,5,1:14:531:14:53,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
60,61,22,GROßSCHARTNER Felix,26,BORA - hansgrohe,,5,1:15:091:15:09,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
61,62,97,VERONA Carlos,27,Movistar Team,,5,1:18:131:18:13,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
62,63,116,SKUJIŅŠ Toms,29,Trek - Segafredo,,5,1:18:481:18:48,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
63,64,13,HIGUITA Sergio,23,EF Pro Cycling,,5,1:20:281:20:28,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
64,65,77,PETERS Nans,26,AG2R La Mondiale,,5,1:21:281:21:28,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
65,66,12,CARTHY Hugh,26,EF Pro Cycling,,5,1:22:141:22:14,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
66,67,42,ARMIRAIL Bruno,26,Groupama - FDJ,,5,1:22:441:22:44,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
67,68,76,PARET-PEINTRE Aurélien,24,AG2R La Mondiale,,5,1:25:051:25:05,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
68,69,86,LAENGEN Vegard Stake,31,UAE-Team Emirates,,5,1:25:191:25:19,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
69,70,75,LATOUR Pierre,26,AG2R La Mondiale,,5,1:26:101:26:10,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
70,71,33,FROOME Chris,35,Team INEOS,,5,1:26:141:26:14,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
71,72,115,RIES Michel,22,Trek - Segafredo,,5,1:27:421:27:42,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
72,73,165,PEREZ Anthony,29,"Cofidis, Solutions Crédits",,5,1:28:281:28:28,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
73,74,177,WÜRTZ SCHMIDT Mads,26,Israel Start-Up Nation,,5,1:28:371:28:37,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
74,75,163,LAFAY Victor,24,"Cofidis, Solutions Crédits",,5,1:31:251:31:25,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
75,76,56,KNOX James,24,Deceuninck - Quick Step,,5,1:38:061:38:06,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
76,77,102,BOOKWALTER Brent,36,Mitchelton-Scott,,5,1:38:181:38:18,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
77,78,205,KOCHETKOV Pavel,34,CCC Team,,5,1:39:501:39:50,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
78,79,213,DEGAND Thomas,34,Circus - Wanty Gobert,,5,1:40:131:40:13,..,Crit_rium_du_Dauphin_,GC,16 August 2020,-,0,0 km,2
