,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,-,179,WEENING Pieter,30,Rabobank Cycling Team,,23:09:59,..,Giro_d_Italia,GC,13 May 2011,37.761 km/h,0,110 km,15
1,2,2,-,79,SIUTSOU Kanstantsin,28,HTC - High Road,,0:020:02,..,Giro_d_Italia,GC,13 May 2011,37.761 km/h,0,110 km,15
2,3,3,-,72,PINOTTI Marco,35,HTC - High Road,,",,0:02",..,Giro_d_Italia,GC,13 May 2011,37.761 km/h,0,110 km,15
3,4,4,-,205,LE MÉVEL Christophe,30,Team Garmin - Cervélo,,0:050:05,..,Giro_d_Italia,GC,13 May 2011,37.761 km/h,0,110 km,15
4,5,7,▲2,91,SCARPONI Michele,31,Lampre - ISD,,0:140:14,..,Giro_d_Italia,GC,13 May 2011,37.761 km/h,0,110 km,15
5,6,5,▼1,125,LASTRAS Pablo,35,Movistar Team,,0:220:22,..,Giro_d_Italia,GC,13 May 2011,37.761 km/h,0,110 km,15
6,7,6,▼1,111,NIBALI Vincenzo,26,Liquigas - Cannondale,,0:240:24,..,Giro_d_Italia,GC,13 May 2011,37.761 km/h,0,110 km,15
7,8,8,-,173,KRUIJSWIJK Steven,23,Rabobank Cycling Team,,0:280:28,..,Giro_d_Italia,GC,13 May 2011,37.761 km/h,0,110 km,15
8,9,9,-,181,CONTADOR Alberto,28,Saxo Bank - Sungard,,0:300:30,..,Giro_d_Italia,GC,13 May 2011,37.761 km/h,0,110 km,15
9,10,10,-,21,SERPA José Rodolfo,32,Androni Giocattoli - Serramenti PVC Diquigiovanni,,0:330:33,..,Giro_d_Italia,GC,13 May 2011,37.761 km/h,0,110 km,15
10,11,11,-,191,LÖFKVIST Thomas,27,Sky Procycling,,0:390:39,..,Giro_d_Italia,GC,13 May 2011,37.761 km/h,0,110 km,15
11,12,12,-,121,ARROYO David,31,Movistar Team,,0:400:40,..,Giro_d_Italia,GC,13 May 2011,37.761 km/h,0,110 km,15
12,13,14,▲1,162,CATALDO Dario,26,Quickstep Cycling Team,,0:440:44,..,Giro_d_Italia,GC,13 May 2011,37.761 km/h,0,110 km,15
13,14,18,▲4,141,KREUZIGER Roman,25,Pro Team Astana,,",,0:44",..,Giro_d_Italia,GC,13 May 2011,37.761 km/h,0,110 km,15
14,15,19,▲4,144,KIŠERLOVSKI Robert,24,Pro Team Astana,,0:520:52,..,Giro_d_Italia,GC,13 May 2011,37.761 km/h,0,110 km,15
15,16,20,▲4,61,MENCHOV Denis,33,Geox-TMC Transformers,,0:550:55,..,Giro_d_Italia,GC,13 May 2011,37.761 km/h,0,110 km,15
16,17,22,▲5,15,DUPONT Hubert,30,AG2R La Mondiale,,0:580:58,..,Giro_d_Italia,GC,13 May 2011,37.761 km/h,0,110 km,15
17,18,23,▲5,143,MASCIARELLI Francesco,25,Pro Team Astana,,0:590:59,..,Giro_d_Italia,GC,13 May 2011,37.761 km/h,0,110 km,15
18,19,24,▲5,22,SELLA Emanuele,30,Androni Giocattoli - Serramenti PVC Diquigiovanni,,1:011:01,..,Giro_d_Italia,GC,13 May 2011,37.761 km/h,0,110 km,15
19,20,26,▲6,81,RODRÍGUEZ Joaquim,32,Team Katusha,,1:061:06,..,Giro_d_Italia,GC,13 May 2011,37.761 km/h,0,110 km,15
20,21,15,▼6,221,CARRARA Matteo,32,Vacansoleil - DCM,,1:071:07,..,Giro_d_Italia,GC,13 May 2011,37.761 km/h,0,110 km,15
21,22,27,▲5,1,GARZELLI Stefano,37,Acqua & Sapone,,1:091:09,..,Giro_d_Italia,GC,13 May 2011,37.761 km/h,0,110 km,15
22,23,21,▼2,126,PARDILLA Sergio,27,Movistar Team,,1:141:14,..,Giro_d_Italia,GC,13 May 2011,37.761 km/h,0,110 km,15
23,24,31,▲7,51,ANTÓN Igor,28,Euskaltel - Euskadi,,1:151:15,..,Giro_d_Italia,GC,13 May 2011,37.761 km/h,0,110 km,15
24,25,17,▼8,122,KIRYIENKA Vasil,29,Movistar Team,,1:161:16,..,Giro_d_Italia,GC,13 May 2011,37.761 km/h,0,110 km,15
25,26,33,▲7,41,POZZOVIVO Domenico,28,Colnago - CSF Inox,,1:211:21,..,Giro_d_Italia,GC,13 May 2011,37.761 km/h,0,110 km,15
26,27,29,▲2,168,SEELDRAEYERS Kevin,24,Quickstep Cycling Team,,1:221:22,..,Giro_d_Italia,GC,13 May 2011,37.761 km/h,0,110 km,15
27,28,32,▲4,59,NIEVE Mikel,26,Euskaltel - Euskadi,,1:321:32,..,Giro_d_Italia,GC,13 May 2011,37.761 km/h,0,110 km,15
28,29,25,▼4,37,TSCHOPP Johann,28,BMC Racing Team,,1:341:34,..,Giro_d_Italia,GC,13 May 2011,37.761 km/h,0,110 km,15
29,30,38,▲8,16,GADRET John,32,AG2R La Mondiale,,1:411:41,..,Giro_d_Italia,GC,13 May 2011,37.761 km/h,0,110 km,15
30,31,40,▲9,69,VALLS Rafael,23,Geox-TMC Transformers,,2:132:13,..,Giro_d_Italia,GC,13 May 2011,37.761 km/h,0,110 km,15
31,32,39,▲7,147,DYACHENKO Alexandr,27,Pro Team Astana,,2:282:28,..,Giro_d_Italia,GC,13 May 2011,37.761 km/h,0,110 km,15
32,33,44,▲11,62,SASTRE Carlos,36,Geox-TMC Transformers,,2:292:29,..,Giro_d_Italia,GC,13 May 2011,37.761 km/h,0,110 km,15
33,34,35,▲1,194,CIONI Dario David,36,Sky Procycling,,2:332:33,..,Giro_d_Italia,GC,13 May 2011,37.761 km/h,0,110 km,15
34,35,34,▼1,84,CARUSO Giampaolo,30,Team Katusha,,2:372:37,..,Giro_d_Italia,GC,13 May 2011,37.761 km/h,0,110 km,15
35,36,30,▼6,113,CAPECCHI Eros,24,Liquigas - Cannondale,,2:572:57,..,Giro_d_Italia,GC,13 May 2011,37.761 km/h,0,110 km,15
36,37,47,▲10,96,NIEMIEC Przemysław,31,Lampre - ISD,,3:273:27,..,Giro_d_Italia,GC,13 May 2011,37.761 km/h,0,110 km,15
37,38,49,▲11,131,BAKELANTS Jan,25,Omega Pharma-Lotto,,3:303:30,..,Giro_d_Italia,GC,13 May 2011,37.761 km/h,0,110 km,15
38,39,48,▲9,211,MACHADO Tiago,25,RadioShack,,3:403:40,..,Giro_d_Italia,GC,13 May 2011,37.761 km/h,0,110 km,15
